feature,weight
I1_lin,1.54241294e-01
I1_exp,5.03499210e-01
I1_quad_lin,3.38459134e-01
I1_quad_exp,6.66341186e-01
I2_lin,1.89159498e-01
I2_exp,6.10340118e-01
I2_quad_lin,1.89159289e-01
I2_quad_exp,8.71384963e-02
I4theta_lin,-0.00000000e+00
I4theta_exp,6.09432757e-02
I4theta_quad_lin,2.73940116e-01
I4theta_quad_exp,4.30286199e-01
I4z_lin,1.09229982e-02
I4z_exp,4.22475189e-01
I4z_quad_lin,4.78072464e-02
I4z_quad_exp,3.80514950e-01
I4a_lin,6.91153780e-02
I4a_exp,6.76685154e-01
I4a_quad_lin,6.90915361e-02
I4a_quad_exp,-0.00000000e+00
I4b_lin,1.79705775e+00
I4b_exp,1.31722409e-02
I4b_quad_lin,1.92988896e+00
I4b_quad_exp,7.59238675e-02
