feature,weight
I1_lin,4.73408341e-01
I1_exp,1.28641754e-01
I1_quad_lin,-0.00000000e+00
I1_quad_exp,6.06638014e-01
I2_lin,7.06521630e-01
I2_exp,2.27549855e-04
I2_quad_lin,8.45906079e-01
I2_quad_exp,2.30794668e-01
I4theta_lin,-0.00000000e+00
I4theta_exp,2.94591159e-01
I4theta_quad_lin,8.81077349e-02
I4theta_quad_exp,4.69522148e-01
I4z_lin,3.07626337e-01
I4z_exp,-0.00000000e+00
I4z_quad_lin,-0.00000000e+00
I4z_quad_exp,2.34509796e-01
I4a_lin,-0.00000000e+00
I4a_exp,8.70690823e-01
I4a_quad_lin,1.22356701e+00
I4a_quad_exp,5.76249123e-01
I4b_lin,1.18810260e+00
I4b_exp,7.32679367e-01
I4b_quad_lin,7.82362074e-02
I4b_quad_exp,6.81783855e-01
