lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.59707545457979,1.18533527196726,1.115,0.652352243818008,0.53741292,10.621,42.9275,7.89435325,30.4350643280678
1.59707545457979,1.18533527196726,1.115,0.652352243818008,0.53741292,10.621,42.9275,7.89435325,30.4350643280678
1.59838648004528,1.18772347242426,1.115,1.66602947329098,0.53741292,10.627,42.9275,55.1329863,77.7275079109155
1.59838648004528,1.13733877538022,1.115,1.64548502896244,0.5146152,10.627,42.9275,55.1329863,76.7690203903333
1.59838648004528,1.13733877538022,1.115,1.23601929422675,0.5146152,10.627,42.9275,36.0296321,57.6656661903333
1.60406199223053,1.16657966626909,1.115,1.24870249873777,0.523281,10.653,42.9275,36.0296321,58.2573927442568
1.60470582811615,1.17029029673473,1.117,1.12911568882263,0.523281,10.653,43.0045,30.31235515,52.5838281137693
1.6009981056133,1.21675067892466,1.117,1.14758581997469,0.54714528,10.636,43.0045,30.31235515,53.4439970152853
1.6009981056133,1.21675067892466,1.117,1.09304688135708,0.54714528,10.636,43.0045,27.7724328,50.9040746652853
1.60164116071075,1.15578077261025,1.119,1.06950030917693,0.51808152,10.636,43.0815,27.7724328,49.7184703785147
1.60273143293584,1.15770762823673,1.119,1.10966857329116,0.51808152,10.641,43.0815,29.5964697,51.5857953641959
1.6033709355726,1.14852162188261,1.121,1.10732418186034,0.51234876,10.641,43.1585,29.5964697,51.3849694289266
1.60162734873322,1.14546820771547,1.121,1.61578554331528,0.51234876,10.633,43.1585,53.25991615,74.9799309967829
1.60162734873322,1.15947731668311,1.121,1.62150989454487,0.5186148,10.633,43.1585,53.25991615,75.2455674000612
1.60226495541939,1.16314047573802,1.123,1.25949988701704,0.5186148,10.633,43.2355,36.31402495,58.3425366241595
1.60400754039192,1.21240596079847,1.123,1.27988214627422,0.53914608,10.641,43.2355,36.31402495,59.2866833600609
1.60464126793961,1.21621863009552,1.125,1.26763965991456,0.53914608,10.641,43.3125,35.5981395,58.6151966965138
