lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.21894350972177,0.410793266142268,1.492,11.6080248593217,0.2553078,8.464,57.442,399.25814145,404.721650266795
1.21894350972177,0.410793266142268,1.492,11.6080248593217,0.2553078,8.464,57.442,399.25814145,404.721650266795
1.21894350972177,0.395562810844043,1.492,11.6022150335205,0.24584208,8.464,57.442,399.25814145,404.519086754528
1.21894350972177,0.395562810844043,1.492,11.8069791949428,0.24584208,8.464,57.442,406.39738265,411.658327954528
1.21754188620083,0.537876013628285,1.492,11.861119259135,0.3352998,8.458,57.442,406.39738265,413.545957968333
1.21754188620083,0.537876013628285,1.492,11.5745056870344,0.3352998,8.458,57.442,396.4044063,403.552981618333
1.22267629404211,0.368253608448423,1.492,11.5102143565306,0.22704396,8.48,57.442,396.4044063,401.31142082787
1.22267629404211,0.368253608448423,1.492,11.7625130554258,0.22704396,8.48,57.442,405.20097135,410.10798587787
1.22267629404211,0.408257670434893,1.492,11.7778019581144,0.25170816,8.48,57.442,405.20097135,410.641043827168
1.22384134604532,0.409276033902257,1.492,11.8275050767079,0.25170816,8.485,57.442,406.9171351,412.37397672698
1.22384134604532,0.418597468996429,1.492,11.8310696677172,0.25744092,8.485,57.442,406.9171351,412.498258607256
1.22360839028128,0.418389127070463,1.492,11.9761062982972,0.25744092,8.484,57.442,411.9773665,417.55505898362
1.22360839028128,0.433556003763852,1.492,11.9819055535562,0.26677332,8.484,57.442,411.9773665,417.757253946776
1.22360839028128,0.433556003763852,1.492,11.8564593777398,0.26677332,8.484,57.442,407.6036006,413.383488046776
1.22290935912982,0.448268983690077,1.492,11.8620247766694,0.27623904,8.481,57.442,407.6036006,413.577529450588
1.22290935912982,0.448268983690077,1.492,11.8375543343017,0.27623904,8.481,57.442,406.75042205,412.724350900588
1.22081078501956,0.411151949306882,1.492,11.8232005223344,0.25450788,8.472,57.442,406.75042205,412.223895522741
1.22081078501956,0.411151949306882,1.492,12.1556610151929,0.25450788,8.472,57.442,418.34188235,423.815355822741
1.22081078501956,0.359892565370246,1.492,12.1360889822301,0.22277772,8.472,57.442,418.34188235,423.13296363494
1.22384134604532,0.362235303310737,1.492,11.8784273425941,0.22277772,8.485,57.442,409.31976435,414.149416023032
1.22384134604532,0.468673085432563,1.492,11.9191299980721,0.28823784,8.485,57.442,409.31976435,415.568541679201
1.22360839028128,0.468439820158644,1.492,11.8337951749151,0.28823784,8.484,57.442,406.3483494,412.593285262034
1.22360839028128,0.384155319676816,1.492,11.8015678849758,0.23637636,8.484,57.442,406.3483494,411.469658966783
1.22360839028128,0.384155319676816,1.492,11.7177495881299,0.23637636,8.484,57.442,403.4259677,408.547277266783
1.22057747246958,0.458520354053106,1.492,11.7459158265861,0.2839716,8.471,57.442,403.4259677,409.529312251025
1.22057747246958,0.458520354053106,1.492,11.777699274719,0.2839716,8.471,57.442,404.53411915,410.637463701025
1.22733242436315,0.396827186919202,1.492,11.7546611486379,0.24224244,8.5,57.442,404.53411915,409.834223828644
1.22733242436315,0.396827186919202,1.492,11.9703948187077,0.24224244,8.5,57.442,412.0558197,417.355924378644
1.22733242436315,0.393551233257238,1.492,11.9691398795489,0.24024264,8.5,57.442,412.0558197,417.312170074748
1.22709987499552,0.393356595018668,1.492,11.9982999073941,0.24024264,8.499,57.442,413.0757113,418.328854199254
1.22709987499552,0.494642643902498,1.492,12.037095670704,0.30210312,8.499,57.442,413.0757113,419.681494768208
1.22337540722415,0.490728997262598,1.492,11.683378505188,0.30210312,8.483,57.442,400.80759215,407.348906176239
1.22337540722415,0.477735290362441,1.492,11.6784107723035,0.29410392,8.483,57.442,400.80759215,407.175702803964
1.22337540722415,0.477735290362441,1.492,11.9819005115543,0.29410392,8.483,57.442,411.3889675,417.757078153964
1.22570401261892,0.421788241691099,1.492,11.9606993485172,0.25837416,8.493,57.442,411.3889675,417.017885242514
1.22570401261892,0.421788241691099,1.492,11.8217522389807,0.25837416,8.493,57.442,406.5444824,412.173400142514
1.22127732735154,0.408976445913012,1.492,11.8165001250056,0.25290804,8.474,57.442,406.5444824,411.990281630869
1.22127732735154,0.408976445913012,1.492,11.7982176105929,0.25290804,8.474,57.442,405.90705015,411.352849380869
1.22127732735154,0.431613518565024,1.492,11.8068630184549,0.26690664,8.474,57.442,405.90705015,411.654277382578
1.22267629404211,0.432908822145475,1.492,11.889886578043,0.26690664,8.48,57.442,408.7803986,414.548950029709
1.22267629404211,0.435287442047373,1.492,11.8907956479325,0.26837316,8.48,57.442,408.7803986,414.580645367235
1.21847641337433,0.431381886381291,1.492,11.8889520422588,0.26837316,8.462,57.442,408.7803986,414.51636680652
1.21847641337433,0.431381886381291,1.492,11.715127520612,0.26837316,8.462,57.442,402.7198889,408.45585710652
1.21847641337433,0.471455613531466,1.492,11.7304104448201,0.293304,8.462,57.442,402.7198889,408.988706612044
1.22384134604532,0.476910632725087,1.492,11.8969658510295,0.293304,8.485,57.442,408.43716585,414.795773678049
1.22384134604532,0.435939673822796,1.492,11.8812982300817,0.26810652,8.485,57.442,408.43716585,414.249511460094
1.22407427454145,0.436156663111238,1.492,11.805457973827,0.26810652,8.486,57.442,405.78937035,411.605289549816
1.22407427454145,0.475412931645865,1.492,11.8204716401947,0.29223744,8.486,57.442,405.78937035,412.128751198333
1.22407427454145,0.475412931645865,1.492,11.7237149485336,0.29223744,8.486,57.442,402.41588275,408.755263598333
1.2250057163488,0.384434030250843,1.492,11.6889885146513,0.23584308,8.49,57.442,402.41588275,407.544502956528
1.2250057163488,0.384434030250843,1.492,12.1094863461433,0.23584308,8.49,57.442,417.0768245,422.205444706528
1.2224432015603,0.374986103611536,1.492,12.1056865630327,0.2313102,8.479,57.442,417.0768245,422.072962694315
1.2224432015603,0.374986103611536,1.492,12.0235558829018,0.2313102,8.479,57.442,414.2132827,419.209420894315
1.2224432015603,0.447822021142999,1.492,12.0513893146612,0.27623904,8.479,57.442,414.2132827,420.17985234762
1.22477289667342,0.450057488431897,1.492,11.7017021701802,0.27623904,8.489,57.442,401.98439015,407.987773169072
1.22477289667342,0.435287261977569,1.492,11.6960512768893,0.26717328,8.489,57.442,401.98439015,407.790750946438
1.22221008165906,0.432909036190295,1.492,11.9421638598275,0.26717328,8.478,57.442,410.6044355,416.371632872976
1.22221008165906,0.399857597798521,1.492,11.929535108241,0.24677532,8.478,57.442,410.6044355,415.931322893901
1.22221008165906,0.399857597798521,1.492,11.6471405779279,0.24677532,8.478,57.442,400.7585589,406.085446293901
1.21964394577783,0.384127995704524,1.492,11.6409396079809,0.23837616,8.467,57.442,400.7585589,405.869245276016
1.21964394577783,0.384127995704524,1.492,11.7084442765816,0.23837616,8.467,57.442,403.1121549,408.222841276016
1.21987736897596,0.358527336246593,1.492,11.6986913812726,0.22237776,8.468,57.442,403.1121549,407.882799974229
1.21987736897596,0.358527336246593,1.492,11.599403264539,0.22237776,8.468,57.442,399.65040745,404.421052524229
1.21987736897596,0.515436781966025,1.492,11.6592865766964,0.31970136,8.468,57.442,399.65040745,406.508924768946
1.2182428234298,0.513628323765023,1.492,11.9464530705848,0.31970136,8.461,57.442,409.69241705,416.521179111642
1.2182428234298,0.412316314948986,1.492,11.9078203018017,0.256641,8.461,57.442,409.69241705,415.174221457281
1.22454004983042,0.417919978687534,1.492,11.8955586298006,0.256641,8.488,57.442,409.1726646,414.746709956621
1.22454004983042,0.427255334055619,1.492,11.8991297964101,0.26237376,8.488,57.442,409.1726646,414.871221099652
1.22454004983042,0.427255334055619,1.492,11.5874832430367,0.26237376,8.488,57.442,398.3068964,404.005452899652
1.22197693431299,0.375691465054041,1.492,11.567572579256,0.2319768,8.477,57.442,398.3068964,403.311254118989
1.22197693431299,0.375691465054041,1.492,11.5149751916379,0.2319768,8.477,57.442,396.47305285,401.477410568989
1.22197693431299,0.376339208959307,1.492,11.5152226614593,0.23237676,8.477,57.442,396.47305285,401.486038771953
1.22197693431299,0.376339208959307,1.492,11.8254628675702,0.23237676,8.477,57.442,407.2897878,412.302773721953
1.22197693431299,0.513229087605435,1.492,11.877761489819,0.31690164,8.477,57.442,407.2897878,414.126200614963
1.22197693431299,0.513229087605435,1.492,12.106433554704,0.31690164,8.477,57.442,415.26259425,422.099007064963
1.22197693431299,0.433988416527944,1.492,12.0761597465568,0.2679732,8.477,57.442,415.26259425,421.043490235728
1.2203441322961,0.432471577481158,1.492,11.9345276503057,0.2679732,8.47,57.442,410.3494626,416.105391255053
1.2203441322961,0.395894379385736,1.492,11.9205649261462,0.2453088,8.47,57.442,410.3494626,415.618571418556
1.2203441322961,0.395894379385736,1.492,11.761647685482,0.2453088,8.47,57.442,404.80870535,410.077814168556
