lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.16107280563339,7.9349905320726,1.36,10.513104320059,1.30560276,13.088,47.6,241.92024885,371.441379626588
1.16107280563339,7.9349905320726,1.36,10.513104320059,1.30560276,13.088,47.6,241.92024885,371.441379626588
1.16107280563339,8.11892220273332,1.36,10.5980793683709,1.3358664,13.088,47.6,241.92024885,374.443656424942
1.16912637053873,8.2412417262554,1.36,10.8101623463582,1.3358664,13.166,47.6,247.2648731,381.936818438813
1.16912637053873,7.90402524843457,1.36,10.6541949009549,1.2812052,13.166,47.6,247.2648731,376.426289737325
1.16737187943852,7.87839889161286,1.36,10.9034733053623,1.2812052,13.149,47.6,256.5223507,385.233613590046
1.16751124542285,8.03176848562984,1.362,10.9855842572378,1.30373628,13.149,47.67,256.5223507,387.564750047802
1.16751124542285,8.03176848562984,1.362,10.6681413200753,1.30373628,13.149,47.67,245.3231564,376.365555747802
1.16073314052091,7.88616149345585,1.364,10.6079861334376,1.29427056,13.082,47.74,245.3231564,373.694573379271
1.16073314052091,7.88616149345585,1.364,11.097098438775,1.29427056,13.082,47.74,262.55344045,390.924857429271
1.15277534998206,7.76795624331665,1.364,11.0383973003677,1.29400392,13.005,47.74,262.55344045,388.856953437122
1.1529159111774,7.78235014581645,1.366,11.3224431889378,1.29400392,13.005,47.81,271.90898455,398.279239463288
1.1529159111774,8.00284739392067,1.366,11.4242295877853,1.33066692,13.005,47.81,271.90898455,401.859686619805
1.1595657797919,8.11596780282644,1.368,11.597035226207,1.33066692,13.068,47.88,275.6060916,407.341911639146
1.1595657797919,8.00781995012872,1.368,11.5470583227749,1.31293536,13.068,47.88,275.6060916,405.586489931381
1.15543330305943,7.94617417455153,1.368,11.1810997422897,1.31293536,13.028,47.88,263.82830495,392.732319460403
1.15557263570536,7.96325417473002,1.37,11.2004860579404,1.31333532,13.028,47.95,263.82830495,392.838931270523
1.15557263570536,7.96325417473002,1.37,11.3953698863651,1.31333532,13.028,47.95,270.66354,399.674166320523
1.15839716065683,7.81297779456364,1.372,11.3391027264121,1.27973868,13.054,48.02,270.66354,397.120948089089
1.15839716065683,7.81297779456364,1.372,11.5748727897786,1.27973868,13.054,48.02,278.9207393,405.378147389089
1.15684788095657,7.7644120173197,1.372,11.5516404194142,1.27547244,13.039,48.02,278.9207393,404.564497388017
1.15698617257259,7.77867191031332,1.374,11.0936246095311,1.27547244,13.039,48.09,262.2494343,387.958214107295
1.15698617257259,8.56328760943032,1.374,11.4562061291421,1.40412624,13.039,48.09,262.2494343,400.638152699752
1.15836313369721,8.59887343445566,1.376,12.3155029919039,1.40412624,13.051,48.16,291.257505,430.062859670379
