lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.51674815832469,0.0446014235929013,1.627,27.1018686647239,0.04212912,7.15,56.945,799.95786045,800.405200371688
0.51674815832469,0.0446014235929013,1.627,27.1018686647239,0.04212912,7.15,56.945,799.95786045,800.405200371688
0.514071338189154,0.0439228696266537,1.627,27.4000821000441,0.04212912,7.131,56.945,808.7740388,809.212400620639
0.514071338189154,0.0696372078574478,1.627,27.4087718384453,0.06679332,7.131,56.945,808.7740388,809.469036496647
0.514071338189154,0.0696372078574478,1.627,27.5223346448269,0.06679332,7.131,56.945,812.1279131,812.822910796647
0.518572132808506,0.122076994351324,1.627,27.540397748251,0.11412192,7.163,56.945,812.1279131,813.35637223779
0.518572132808506,0.122076994351324,1.627,26.812533211443,0.11412192,7.163,56.945,790.6317363,791.86019543779
0.516326379199222,0.0297097827729367,1.627,26.7810192568252,0.02813052,7.147,56.945,790.6317363,790.929487172896
0.516326379199222,0.0297097827729367,1.627,26.6711090553273,0.02813052,7.147,56.945,787.38573515,787.683486022896
0.516326379199222,0.0385804762075102,1.627,26.674119290821,0.03652968,7.147,56.945,787.38573515,787.772387942292
0.520669298209042,0.0395407713576405,1.627,27.5080087155237,0.03652968,7.178,56.945,812.00042665,812.399820106618
0.520669298209042,0.047333478121555,1.627,27.5106739380615,0.04372896,7.178,56.945,812.00042665,812.478532685659
0.523314568764444,0.0480383873969514,1.627,27.2599579875066,0.04372896,7.197,56.945,804.58659925,805.074085666789
0.523314568764444,0.0515533913528258,1.627,27.2611657714503,0.04692864,7.197,56.945,804.58659925,805.109755404603
0.523314568764444,0.0515533913528258,1.627,27.0157771342692,0.04692864,7.197,56.945,797.3394849,797.862641054603
0.52220226781615,0.0388627838669929,1.627,27.0113906189971,0.03559644,7.189,56.945,797.3394849,797.733093174391
0.52220226781615,0.0388627838669929,1.627,26.7796162363821,0.03559644,7.189,56.945,790.4944432,790.888051474391
0.518011552267376,0.0656784298309385,1.627,26.7886448478513,0.06159384,7.159,56.945,790.4944432,791.15469536015
0.518011552267376,0.0656784298309385,1.627,27.0018241510588,0.06159384,7.159,56.945,796.7903125,797.45056466015
0.518011552267376,0.0473396474755466,1.627,26.995581818524,0.04439556,7.159,56.945,796.7903125,797.266208537511
0.519691599624121,0.0477914351612592,1.627,27.219589904837,0.04439556,7.171,56.945,803.3999946,803.881886571685
0.519691599624121,0.0241109943155902,1.627,27.2115049288114,0.02239776,7.171,56.945,803.3999946,803.643111270399
0.517169612519254,0.023769118588038,1.627,27.3707377486988,0.02239776,7.153,56.945,808.1071866,808.345767706546
0.517169612519254,0.047113788629861,1.627,27.3786718921017,0.04439556,7.153,56.945,808.1071866,808.580088436189
0.517169612519254,0.047113788629861,1.627,26.9632711003377,0.04439556,7.153,56.945,795.83906745,796.311969286189
0.517590743323715,0.0394265070670162,1.627,26.9606686965354,0.03706296,7.156,56.945,795.83906745,796.235111946108
