lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.96425867002635,19.8173970849003,1.446,8.93847606657602,4.12198776,12.064,55.671,-1.32389775,321.560073723506
1.96425867002635,19.8173970849003,1.446,8.93847606657602,4.12198776,12.064,55.671,-1.32389775,321.560073723506
1.96425867002635,19.8173970849003,1.446,9.941907854675,4.12198776,12.064,55.671,34.7743809,357.658352373506
1.97271240582979,19.6249974090609,1.446,9.8626756667537,4.04346228,12.107,55.671,34.7743809,354.80798862028
1.97271240582979,19.6249974090609,1.446,10.6534813220852,4.04346228,12.107,55.671,63.22347255,383.25708027028
1.95973380260388,18.8481541366506,1.446,10.2896401655011,3.94040592,12.041,55.671,63.22347255,370.167959903073
1.96001670160839,18.8829677950525,1.448,10.0382582898829,3.94040592,12.041,55.748,53.4854691,360.625751199499
1.95608094726864,18.6657326778272,1.448,9.93635098572987,3.91240872,12.021,55.748,53.4854691,356.964717875624
1.9563636621409,18.7001857108002,1.45,9.91365629987453,3.91240872,12.021,55.825,51.98505165,355.658167733994
1.9563636621409,18.630090282865,1.45,9.88192767944825,3.89774352,12.021,55.825,51.98505165,354.519885079825
1.97464786154991,19.016550289554,1.45,10.4320940485926,3.89774352,12.114,55.825,64.85137645,374.257422561452
1.97492656156508,18.7562011159636,1.452,10.3179598282869,3.83734956,12.114,55.902,64.85137645,369.652925128901
1.97492656156508,18.7562011159636,1.452,10.3707894705736,3.83734956,12.114,55.902,66.7440599,371.545608578901
1.98619376205994,18.9753228381857,1.454,10.4839074848717,3.82801716,12.17,55.979,66.7440599,375.081551900214
1.98619376205994,18.9753228381857,1.454,11.2330385086695,3.82801716,12.17,55.979,93.54563435,401.883126350214
1.97657875621964,18.4969929722081,1.454,11.0075229404432,3.7716228,12.121,55.979,93.54563435,393.814881811612
1.97685552230019,18.5307462082773,1.456,9.82726416525001,3.7716228,12.121,56.056,50.65134725,351.105947616813
1.97685552230019,19.3776975991328,1.456,10.2116247801934,3.94400556,12.121,56.056,50.65134725,364.838284070481
1.98321346696864,19.5447633147041,1.458,10.6655346435234,3.94400556,12.152,56.133,63.8216782,380.532748229633
1.98321346696864,19.5910105996998,1.458,10.6865390136785,3.95333796,12.152,56.133,63.8216782,381.282157515441
1.96534894421208,19.2042030672191,1.458,10.6085814064275,3.95333796,12.061,56.133,67.8816313,378.500728967866
1.96562601257902,19.6700499227744,1.46,10.8238931879597,4.04186244,12.061,56.21,67.8816313,385.653762730611
1.96562601257902,19.6700499227744,1.46,10.8007732914081,4.04186244,12.061,56.21,67.0578727,384.830004130611
1.96275886024734,19.8573112914278,1.462,10.8868232672769,4.08732456,12.045,56.287,67.0578727,387.365315018109
1.96275886024734,19.8573112914278,1.462,11.2051573223648,4.08732456,12.045,56.287,78.38455345,398.691995768109
1.96924094602572,20.2344729386063,1.462,11.382345907615,4.13478648,12.078,56.287,78.38455345,404.996563267551
1.96951576845564,20.2712153852019,1.464,10.8739465662079,4.13478648,12.078,56.364,59.5655921,386.378585954301
1.96951576845564,21.1398697105689,1.464,11.268077624687,4.31196876,12.078,56.364,59.5655921,400.383050674504
