lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.24516790693686,1.18716676265079,1.566,15.3471266405371,0.6559344,8.502,60.291,494.3532265,509.802839400217
1.24516790693686,1.18716676265079,1.566,15.5717889190583,0.6559344,8.502,60.291,501.81608715,517.265700050217
1.26260928473038,1.28740553731896,1.566,15.6148823524006,0.686598,8.579,60.291,501.81608715,518.697183297338
1.26260928473038,1.28740553731896,1.566,15.7492073678107,0.686598,8.579,60.291,506.2781129,523.159209047338
1.26260928473038,1.28740553731896,1.566,15.7492073678107,0.686598,8.579,60.291,506.2781129,523.159209047338
1.26463940378085,1.29315569563497,1.566,15.7835023707759,0.68686464,8.588,60.291,507.32742445,524.298424895253
1.26463940378085,1.29315569563497,1.566,15.7835023707759,0.68686464,8.588,60.291,507.32742445,524.298424895253
1.28216265299289,1.33102814585752,1.566,15.8022561464705,0.68286504,8.666,60.291,507.32742445,524.921390243916
1.28216265299289,1.33102814585752,1.566,15.7594492734277,0.68286504,8.666,60.291,505.9054602,523.499425993916
1.28216265299289,1.35519558388265,1.566,15.7690661035515,0.6952638,8.666,60.291,505.9054602,523.818879101849
1.29711694867121,1.39514852846606,1.566,15.6491805674607,0.6952638,8.733,60.291,501.28652805,519.836505845041
1.29711694867121,1.43153207590065,1.566,15.6637436334197,0.71339532,8.733,60.291,501.28652805,520.320263655229
1.30000849337168,1.43951363771468,1.566,15.563068519869,0.71339532,8.746,60.291,497.81497395,516.976024701108
1.30000849337168,1.46211112333756,1.566,15.5721235204621,0.7245942,8.746,60.291,497.81497395,517.276814882961
1.30000849337168,1.46211112333756,1.566,15.5809801148847,0.7245942,8.746,60.291,498.10917345,517.571014382961
1.31596640597554,1.49552912401431,1.566,15.5979505304261,0.71899476,8.818,60.291,498.10917345,518.134739843202
1.31596640597554,1.49552912401431,1.566,15.427018258069,0.71899476,8.818,60.291,492.4311231,512.456689493202
1.33468690037719,1.69915710762155,1.566,15.5136873494271,0.78885444,8.903,60.291,492.4311231,515.335674589075
1.33468690037719,1.69915710762155,1.566,15.740711386461,0.78885444,8.903,60.291,499.97243695,522.876988439074
1.33468690037719,1.68221435464712,1.566,15.7338360008461,0.78098856,8.903,60.291,499.97243695,522.648600989716
1.36743195434579,1.78516512935676,1.566,15.6648924196045,0.78098856,9.053,60.291,496.03016365,520.358424183421
1.36743195434579,1.84397989036152,1.566,15.6890216697954,0.80671932,9.053,60.291,496.03016365,521.159952739746
1.41271154741805,1.99527572612306,1.566,15.8922830795015,0.80671932,9.263,60.291,500.34508965,527.911916559146
1.41271154741805,2.05924589483366,1.566,15.9188894836183,0.8325834,9.263,60.291,500.34508965,528.795731535245
1.41271154741805,2.05924589483366,1.566,15.874311291691,0.8325834,9.263,60.291,498.8642855,527.314927385245
1.45190562969504,2.26504961873043,1.566,15.9700524196432,0.85778088,9.447,60.291,498.8642855,530.495268567058
