lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.519793225411509,0,1.133,1.80750276781692,0.48141852,7.642,34.5565,82.9054191,82.9054191
0.519793225411509,0,1.133,1.80750276781692,0.4939506,7.642,34.5565,82.9054191,82.9054191
0.519793225411509,0,1.135,1.55157884859799,0.4939506,7.642,34.6175,71.16685905,71.16685905
0.520405387022174,0,1.135,1.54793069895218,0.51088224,7.651,34.6175,71.16685905,71.16685905
0.520405387022174,0,1.135,1.38240855173061,0.51088224,7.651,34.6175,63.55689865,63.55689865
0.520405387022174,0,1.137,1.38240855173061,0.4912842,7.651,34.6785,63.55689865,63.55689865
0.523330159162019,0,1.137,1.41909808194883,0.4912842,7.694,34.6785,65.9791412,65.9791412
0.523330159162019,0,1.139,1.41909808194883,0.4619538,7.694,34.7395,65.9791412,65.9791412
0.624395083264877,0.074276627285751,1.139,1.30730575573399,0.4619538,8.063,34.7395,65.0180895,65.4706568182143
0.624395083264877,0.0837514524690994,1.139,1.30845849926655,0.52088124,8.063,34.7395,65.0180895,65.5283869061366
0.627725534295569,0.0880438465476425,1.141,1.33226760911977,0.52088124,8.063,34.8005,66.04778775,66.6038100379993
0.522717997551354,0,1.141,1.42390380513078,0.48048528,7.685,34.8005,66.04778775,66.04778775
0.522717997551354,0,1.143,1.55498329424452,0.48048528,7.685,34.8615,72.12791075,72.12791075
0.522581961637872,0,1.143,1.55579297051003,0.47808552,7.683,34.8615,72.12791075,72.12791075
0.522581961637872,0,1.143,1.79566642102782,0.47808552,7.683,34.8615,83.24865185,83.24865185
0.522581961637872,0,1.145,1.79566642102782,0.46755324,7.683,34.9225,83.24865185,83.24865185
0.519861243368249,0,1.145,1.24016879509306,0.46755324,7.643,34.9225,56.8981833,56.8981833
0.519861243368249,0,1.147,1.24016879509306,0.53901276,7.643,34.9835,56.8981833,56.8981833
0.52230988981091,0,1.147,1.16017301413115,0.53901276,7.679,34.9835,53.73063535,53.73063535
0.52230988981091,0,1.147,1.16017301413115,0.51901476,7.679,34.9835,53.73063535,53.73063535
