lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.476737858794722,0,1.335,18.926524360904,0.5106156,7.009,40.7175,730.25219225,730.25219225
0.476737858794722,0,1.335,18.6921826505602,0.5106156,7.009,40.7175,721.21046095,721.21046095
0.4718405659094,0,1.335,19.1867798143195,0.49915008,6.937,40.7175,725.1625409,725.1625409
0.4718405659094,0,1.335,19.1867798143195,0.49608372,6.937,40.7175,725.1625409,725.1625409
0.473677050741396,0,1.335,19.0727907013293,0.49608372,6.964,40.7175,726.476632,726.476632
0.473677050741396,0,1.335,19.0727907013293,0.49608372,6.964,40.7175,726.476632,726.476632
0.473677050741396,0,1.335,19.0727907013293,0.49448388,6.964,40.7175,726.476632,726.476632
0.474697320092504,0,1.335,19.1370155437922,0.49448388,6.979,40.7175,732.0664225,732.0664225
0.474697320092504,0,1.335,19.1370155437922,0.55834416,6.979,40.7175,732.0664225,732.0664225
0.475785607400354,0,1.335,18.702773049548,0.55834416,6.995,40.7175,718.73918515,718.73918515
0.475785607400354,0,1.335,18.702773049548,0.49821684,6.995,40.7175,718.73918515,718.73918515
0.475785607400354,0,1.335,18.866346715138,0.49821684,6.995,40.7175,725.0252478,725.0252478
0.478574343626717,0,1.335,18.647112349967,0.52421424,7.036,40.7175,725.0252478,725.0252478
0.478574343626717,0,1.335,18.6746043053604,0.52421424,7.036,40.7175,726.09417265,726.09417265
0.482315331247449,0,1.335,18.3860357054951,0.57167616,7.091,40.7175,726.09417265,726.09417265
0.482315331247449,0,1.335,18.4203041908932,0.57167616,7.091,40.7175,727.44749035,727.44749035
0.482315331247449,0,1.335,18.4203041908932,0.55207812,7.091,40.7175,727.44749035,727.44749035
0.481363079853081,0,1.335,18.2441993132203,0.55207812,7.077,40.7175,717.650647,717.650647
0.481363079853081,0,1.335,18.2441993132203,0.55767756,7.077,40.7175,717.650647,717.650647
0.482587403074412,0,1.335,18.2685737384267,0.55767756,7.095,40.7175,722.26957915,722.26957915
0.482587403074412,0,1.335,18.2685737384267,0.56114388,7.095,40.7175,722.26957915,722.26957915
0.482587403074412,0,1.335,18.671146618326,0.56114388,7.095,40.7175,738.1857721,738.1857721
0.48000272071827,0,1.335,18.8727659500784,0.53941272,7.057,40.7175,738.1857721,738.1857721
0.48000272071827,0,1.335,18.3457505924906,0.53941272,7.057,40.7175,717.5721938,717.5721938
0.48115902598286,0,1.335,18.2576807556301,0.63007032,7.074,40.7175,717.5721938,717.5721938
0.48115902598286,0,1.335,18.2125181221532,0.63007032,7.074,40.7175,715.79719015,715.79719015
0.48115902598286,0,1.335,18.2125181221532,0.60887244,7.074,40.7175,715.79719015,715.79719015
