lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.957990208671912,3.22964096286056,1.125,1.01156574212841,1.06735992,9.488,25.875,-11.5130071,31.1182096235967
0.957990208671912,3.22964096286056,1.125,1.01156574212841,1.06735992,9.488,25.875,-11.5130071,31.1182096235967
0.963626939524447,3.27405735495709,1.125,1.29792549003901,1.06735992,9.53,25.875,-3.3734876,39.9273282919424
0.963626939524447,3.27692000815278,1.125,1.29915620660042,1.06829316,9.53,25.875,-3.3734876,39.9651881109836
0.963626939524447,3.27692000815278,1.125,1.1834366364925,1.06829316,9.53,25.875,-6.93330155,36.4053741609836
0.963895085684304,3.16323339798137,1.125,1.13468362043578,1.0305636,9.532,25.875,-6.93330155,34.9056134333778
0.96417363589269,3.17190313166715,1.127,1.2975709551816,1.0305636,9.532,25.921,-2.04958985,39.8455853457919
0.970332007328912,3.26829619142989,1.127,1.34192164156634,1.04629536,9.578,25.921,-2.04958985,41.2074985825446
0.970332007328912,3.26829619142989,1.127,1.91132880086168,1.04629536,9.578,25.921,15.4356671,58.6927555325446
0.970607060412804,3.46341942778512,1.129,1.99687924211727,1.10575608,9.578,25.967,15.4356671,61.2111969525672
1.0275896672549,3.94884151804691,1.129,2.59571698495233,1.10575608,10.008,25.967,26.477955,79.5676274498075
1.02809731788008,3.86827749955159,1.133,2.5645148822528,1.07762556,10.008,26.059,26.477955,78.33364315956
0.986080096165357,3.51541252778596,1.133,2.50331794500922,1.07762556,9.69,26.059,29.9102825,76.4643699189673
0.986080096165357,3.3318786806097,1.133,2.42374698673057,1.02136452,9.69,26.059,29.9102825,74.0338583649893
0.986346335800177,3.3407405762876,1.135,2.3198342228436,1.02136452,9.69,26.105,26.5564082,70.7349581491609
0.951595635020433,3.18528862039666,1.135,2.23670902125741,1.05829416,9.43,26.105,26.5564082,68.2003556342739
0.951873607418647,3.19400808460455,1.137,1.85750162658925,1.05829416,9.43,26.151,14.83746145,56.5381702818993
0.93786273315301,3.03662762684581,1.137,1.78349958067509,1.04162916,9.326,26.151,14.83746145,54.2857145030118
0.93786273315301,3.03662762684581,1.137,1.86533510049885,1.04162916,9.326,26.151,17.32835055,56.7766036030118
0.93814508068889,3.11674326469657,1.139,1.90106749059417,1.06616004,9.326,26.197,17.32835055,57.7626118645523
0.957786985135748,3.27117558337812,1.139,2.11936049396267,1.06616004,9.472,26.197,21.66288985,64.3952927602636
0.958060485325219,3.23040324435557,1.141,2.1036086021064,1.05002832,9.472,26.243,21.66288985,63.804646242001
0.940314910521214,3.09257300006544,1.141,1.89124410603442,1.05002832,9.34,26.243,17.26951065,57.3634092492137
0.940314910521214,3.05527050704789,1.141,1.87529968263328,1.03736292,9.34,26.243,17.26951065,56.8797982325904
0.940594137458919,3.06366171251382,1.143,2.03716658285996,1.03736292,9.34,26.289,22.01592925,61.6812724772952
0.974100339725583,3.30549163037709,1.143,2.15675366249947,1.03176348,9.59,26.289,22.01592925,65.3021267098701
0.974365803639497,3.31426494446795,1.145,2.27751404489953,1.03176348,9.59,26.335,25.49729,68.838054631254
0.954181300331994,3.26981919776922,1.145,2.24886948144463,1.0685598,9.439,26.335,25.49729,67.9722702781728
0.954181300331994,3.26981919776922,1.145,2.15218218541396,1.0685598,9.439,26.335,22.5749083,65.0498885781728
0.954723711769051,3.29360233890105,1.149,2.16607984546218,1.0705596,9.439,26.427,22.5749083,65.2420267843208
0.943174695448998,3.20152886345645,1.149,2.04282403350852,1.0705596,9.353,26.427,20.2213123,61.5295786944456
0.943448615013977,3.15024139683663,1.151,2.02254506938075,1.0505616,9.353,26.473,20.2213123,60.812925430216
0.976220217468632,3.41002189122883,1.151,2.67865351166998,1.0505616,9.598,26.473,36.11789195,80.5404827435799
0.976220217468632,3.41002189122883,1.151,2.67865351166998,1.0505616,9.598,26.473,36.11789195,80.5404827435799
0.976480982282193,3.48014318929518,1.153,2.6626401310807,1.06935972,9.598,26.519,34.64689445,79.9201292425907
0.952581958778709,3.28602537881494,1.153,2.56739011975265,1.06935972,9.419,26.519,34.64689445,77.0611648910671
0.952850265202673,3.29111217316711,1.155,2.57210805537094,1.06815984,9.419,26.565,34.64689445,77.0690910155305
0.957268816496816,3.32667074216849,1.155,3.01632706433218,1.06815984,9.452,26.565,47.43476605,90.3794008841122
0.957268816496816,3.24404374794838,1.155,2.98072870170301,1.04162916,9.452,26.565,47.43476605,89.3127530643433
0.957534391486086,3.25265585919985,1.157,2.93523711875204,1.04162916,9.452,26.611,45.86570205,87.7976402251372
0.943322948497079,3.12177550806684,1.157,2.87228895421022,1.03509648,9.346,26.611,45.86570205,85.9147598718033
