lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.12611547846493,19.5642659629893,1.394,12.9479658469808,3.94253904,14.357,57.851,202.04640995,644.159314540461
1.12477018077364,19.3612621249114,1.396,13.1730232766797,3.90574272,14.341,57.934,217.56053025,654.416981859496
1.12477018077364,19.4617165160565,1.396,13.2186484905768,3.92600736,14.341,57.934,217.56053025,656.683577321151
1.11953249227171,19.2493142937081,1.4,14.0004522643231,3.9109422,14.282,58.1,260.72940355,693.535265117028
1.11969470521694,19.3935797483372,1.402,14.0749864675946,3.93280668,14.282,58.183,260.72940355,696.232820272913
1.11280666625525,19.1315871724734,1.402,13.3303395408559,3.93280668,14.209,58.183,230.3189819,659.398139749103
1.11740455129938,19.3045189840678,1.404,13.6303239600425,3.926274,14.256,58.266,240.50809125,673.276707423612
1.11740455129938,19.4277532648489,1.404,13.6862534549199,3.95133816,14.256,58.266,240.50809125,676.039372953006
1.11756616476349,19.4644430165392,1.406,13.8485613150023,3.95133816,14.256,58.349,247.27467975,683.083597776977
1.12199680052125,19.3691232063433,1.406,13.8123273629548,3.89787684,14.303,58.349,247.27467975,681.296349429417
1.122157139389,19.4055496332803,1.408,14.6960340457962,3.89787684,14.303,58.432,289.56095455,723.855726086004
1.11744438974882,19.3291476385856,1.408,14.653863859882,3.91867476,14.253,58.432,289.56095455,721.778626206609
1.12677695936025,19.7872102326703,1.414,14.46360537954,3.92040792,14.347,58.681,267.8784514,709.384466327369
1.11500239644858,19.1759537627173,1.414,14.16717619851,3.88814448,14.222,58.681,267.8784514,694.845749951279
1.11516203195403,19.2118830198151,1.416,14.980419429477,3.88814448,14.222,58.764,306.4578125,733.694459356375
1.1243938081317,19.5636085175038,1.416,15.154821439964,3.88814448,14.32,58.764,306.4578125,742.236128659917
1.1243938081317,19.8493751211403,1.416,14.8580991794515,3.9449388,14.32,58.764,285.55984135,727.703593070338
1.12455137639284,19.8863220632609,1.418,14.8846571426994,3.9449388,14.32,58.847,285.55984135,727.976104863375
1.12097412122662,19.9363410800228,1.418,14.9016597585094,3.98266836,14.282,58.847,285.55984135,728.807665705605
1.12113179837104,19.9734465545398,1.42,14.8172548724145,3.98266836,14.282,58.93,280.1367639,723.658931382267
1.11849491367851,19.6573960476286,1.42,14.6693498258953,3.94000596,14.254,58.93,280.1367639,716.435406590951
1.11965710119655,20.0088421246016,1.424,15.3917341976249,3.9889344,14.263,59.096,306.5362657,749.604327690128
1.11965710119655,19.7901626000446,1.424,15.29230542493,3.94533876,14.263,59.096,306.5362657,744.761972868244
1.11981360817169,19.8268214142133,1.426,15.2796006855798,3.94533876,14.263,59.179,304.60435565,743.099550736529
1.11793059570474,19.8383431188915,1.426,15.2818138924065,3.9622704,14.243,59.179,304.60435565,743.20718659904
1.11808693154563,19.8750571036735,1.428,15.1438298452393,3.9622704,14.243,59.262,296.5923226,735.465039881988
1.12279249777455,19.8893250709412,1.428,15.1578569962758,3.92867376,14.293,59.262,296.5923226,736.146273051005
1.11783340631113,19.8069970555539,1.432,15.8159100670012,3.93853944,14.237,59.428,329.70937965,765.959291008597
1.11783340631113,19.9451136825069,1.432,15.8787233042649,3.96600336,14.237,59.428,329.70937965,769.001315304172
1.11798838725481,19.981828861403,1.434,15.7553717158733,3.96600336,14.237,59.511,322.4034254,761.963244220645
1.11544676058016,19.9729685975535,1.434,15.7472281934596,3.98413488,14.21,59.511,322.4034254,761.569406177999
1.11560168486143,20.0097136133792,1.436,16.0163868217647,3.98413488,14.21,59.594,334.0733389,773.507677931506
1.1133418685839,19.6960240366453,1.436,15.870119600518,3.93920604,14.186,59.594,334.0733389,766.443736486845
1.1133418685839,19.6960240366453,1.436,15.9030150337474,3.93920604,14.186,59.594,335.6620162,768.032413786844
1.11349669082847,19.6247136269267,1.438,15.8817696180473,3.91774152,14.186,59.677,335.6620162,765.939603125445
1.11406163647577,19.6466205538606,1.438,16.4066791012097,3.91774152,14.192,59.677,360.4532274,791.25472674702
1.11421588766707,19.8213096031942,1.44,16.4979959147375,3.94533876,14.192,59.76,360.4532274,794.553635782756
1.11995533044736,20.0464140204764,1.44,16.6798856546804,3.94533876,14.253,59.76,363.83652165,803.313557589626
