lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.572120983379142,0.112843328015619,1.415,6.73828091646193,0.12118788,9.017,58.7225,328.45412845,330.253320122419
0.572120983379142,0.112843328015619,1.415,6.44695174697381,0.12118788,9.017,58.7225,314.17564605,315.974837722419
0.568688512201269,0.113449343306983,1.415,5.99790986036582,0.12412092,8.991,58.7225,292.16952345,293.966616966287
0.568688512201269,0.113449343306983,1.415,6.39788720226606,0.12412092,8.991,58.7225,311.7730168,313.570110316287
0.577619665750613,0.132554812149402,1.415,6.80095686012642,0.13825284,9.059,58.7225,331.1901838,333.32516273979
0.577619665750613,0.132554812149402,1.415,6.80095686012642,0.13825284,9.059,58.7225,331.1901838,333.32516273979
0.577749915257858,0.204404969434306,1.415,6.11567006081102,0.21304536,9.06,58.7225,296.44522285,299.738222166108
0.575531477519533,0.202021760642302,1.415,5.79947967140481,0.21304536,9.043,58.7225,280.9997491,284.241253846327
0.575531477519533,0.124904567906504,1.415,5.7742331444866,0.13172016,9.043,58.7225,280.9997491,283.003883448793
0.58138463081476,0.128804450196372,1.415,6.3688181870769,0.13172016,9.088,58.7225,310.05685305,312.145393997997
0.58138463081476,0.150836790361541,1.415,6.37610729993853,0.15425124,9.088,58.7225,310.05685305,312.502644423312
0.58138463081476,0.150836790361541,1.415,6.03335533061631,0.15425124,9.088,58.7225,293.2580616,295.703852973312
0.576837523776663,0.160269361810095,1.415,6.0360468568045,0.16784988,9.053,58.7225,293.2580616,295.835768735042
0.576837523776663,0.160269361810095,1.415,6.15229840039831,0.16784988,9.053,58.7225,298.95572525,301.533432385042
0.577749915257858,0.147867424697157,1.415,6.14830877799277,0.15411792,9.06,58.7225,298.95572525,301.337894968036
0.577749915257858,0.147867424697157,1.415,6.90064234755,0.15411792,9.06,58.7225,335.82872925,338.210898968036
0.577749915257858,0.223080267017165,1.415,6.92536494581918,0.23251008,9.06,58.7225,335.82872925,339.422590831535
0.570275513070953,0.214357038714043,1.415,7.0273757019765,0.23251008,9.003,58.7225,341.0164471,344.42229199075
0.570275513070953,0.147862108700111,1.415,7.00581923564483,0.16038396,9.003,58.7225,341.0164471,343.365777033241
0.578270607729968,0.154301435471649,1.415,6.85298270662373,0.16038396,9.064,58.7225,333.3868734,335.875028017139
0.578270607729968,0.145579492319469,1.415,6.85011309865248,0.1513182,9.064,58.7225,333.3868734,335.734384198382
0.578270607729968,0.145579492319469,1.415,6.6110070838597,0.1513182,9.064,58.7225,321.66792665,324.015437448382
0.58099631702573,0.176813739661622,1.415,6.62156647926871,0.18118188,9.085,58.7225,321.66792665,324.532969358307
0.58099631702573,0.176813739661622,1.415,6.40086862628423,0.18118188,9.085,58.7225,310.8511917,313.716234408307
0.57304132138283,0.164301579962432,1.415,6.39595390699719,0.17558244,9.024,58.7225,310.8511917,313.475356596572
0.57304132138283,0.164301579962432,1.415,6.01938694478796,0.17558244,9.024,58.7225,292.3950764,295.019241296572
0.57304132138283,0.130243621473636,1.415,6.00828830097339,0.13918608,9.024,58.7225,292.3950764,294.475280008216
0.580478151144305,0.135464169035136,1.415,5.77488555938348,0.13918608,9.081,58.7225,280.8428427,283.035859287803
0.580478151144305,0.127289607110602,1.415,5.77218543427317,0.13078692,9.081,58.7225,280.8428427,282.903522079918
0.57369773930299,0.122814536761354,1.415,6.49933502754835,0.13078692,9.029,58.7225,316.5782753,318.542221383492
0.57369773930299,0.124942821292387,1.415,6.50002943023918,0.13305336,9.029,58.7225,316.5782753,318.576255107671
0.57369773930299,0.124942821292387,1.415,6.65809951533233,0.13305336,9.029,58.7225,324.3255288,326.323508607671
0.578400704669146,0.29135810042303,1.415,6.71321617858209,0.3026364,9.065,58.7225,324.3255288,329.024859480092
0.578400704669146,0.29135810042303,1.415,6.5307352702214,0.3026364,9.065,58.7225,315.381864,320.081194680092
0.571462624877327,0.187778433122175,1.415,6.49586451417559,0.20237976,9.012,58.7225,315.381864,318.372126283853
0.571462624877327,0.187778433122175,1.415,6.39962184211256,0.20237976,9.012,58.7225,310.66486535,313.655127633853
0.571462624877327,0.229713142495309,1.415,6.4132469242789,0.24757524,9.012,58.7225,310.66486535,314.322913479852
0.566564935707249,0.2236797901215,1.415,6.27194510691794,0.24757524,8.975,58.7225,303.8688569,307.397498095524
0.566564935707249,0.193928089442981,1.415,6.26236887909099,0.2146452,8.975,58.7225,303.8688569,306.928152713028
0.57067151378268,0.198310968823543,1.415,6.38954170800963,0.2146452,9.006,58.7225,310.0078198,313.161085044053
0.57067151378268,0.17441511295288,1.415,6.38178927043084,0.18878112,9.006,58.7225,310.0078198,312.781126374894
0.57067151378268,0.17441511295288,1.415,6.06484874538333,0.18878112,9.006,58.7225,294.4740862,297.247392774894
0.570275513070953,0.258850873584733,1.415,6.09217876413886,0.28077192,9.003,58.7225,294.4740862,298.586878252707
0.570275513070953,0.258850873584733,1.415,6.2088304851633,0.28077192,9.003,58.7225,300.19136315,304.304155202707
0.571726066164826,0.199317705378289,1.415,6.18970849347454,0.21451188,9.014,58.7225,300.19136315,303.366957522637
0.571726066164826,0.199317705378289,1.415,6.36358558707699,0.21451188,9.014,58.7225,308.713342,311.888936372637
0.571726066164826,0.211829258046535,1.415,6.36765275659099,0.2279772,9.014,58.7225,308.713342,312.088274490497
0.576967957762681,0.217831193151195,1.415,6.82049266612144,0.2279772,9.054,58.7225,330.7783045,334.282642083722
0.576967957762681,0.20152570033052,1.415,6.81514059697223,0.21091224,9.054,58.7225,330.7783045,334.020329094999
0.579310534719238,0.204023545882856,1.415,6.44427840236284,0.21091224,9.072,58.7225,312.54774215,315.843813067236
0.579310534719238,0.236522871775701,1.415,6.45499094415221,0.24450888,9.072,58.7225,312.54774215,316.36885091246
0.579310534719238,0.236522871775701,1.415,6.40336805560281,0.24450888,9.072,58.7225,310.01762645,313.83873521246
0.581901970418951,0.235164706632067,1.415,6.40327644155779,0.23984268,9.092,58.7225,310.01762645,313.834245069809
0.581901970418951,0.235164706632067,1.415,6.24540644517996,0.23984268,9.092,58.7225,302.2801796,306.096798219809
0.580348535448605,0.310034383975356,1.415,6.26991796769078,0.31876812,9.08,58.7225,302.2801796,307.298144941742
0.580348535448605,0.310034383975356,1.415,5.8197183582483,0.31876812,9.08,58.7225,280.2152171,285.233182441742
0.580348535448605,0.213302618837081,1.415,5.78777439268793,0.2193114,9.08,58.7225,280.2152171,283.667560465607
0.580607737109581,0.213591169670223,1.415,6.59606037141619,0.2193114,9.082,58.7225,319.82427645,323.282876507308
0.580607737109581,0.220602673112285,1.415,6.59837685977517,0.22651068,9.082,58.7225,319.82427645,323.396411098855
0.570143446565245,0.208676876829845,1.415,7.00170673891043,0.22651068,9.002,58.7225,339.84945575,343.164217359881
0.570143446565245,0.225503676197525,1.415,7.00716031540188,0.24477552,9.002,58.7225,339.84945575,343.431505376688
0.570143446565245,0.225503676197525,1.415,6.51514216446007,0.24477552,9.002,58.7225,315.7349034,319.316953026688
0.572252557379537,0.22249206811792,1.415,6.51445405186513,0.23877612,9.018,58.7225,315.7349034,319.283227589605
0.572252557379537,0.22249206811792,1.415,6.52986088294383,0.23877612,9.018,58.7225,316.49001545,320.038339639605
0.580737293384763,0.282338674369779,1.415,6.55076464663665,0.28970436,9.083,58.7225,316.49001545,321.062864655435
0.580737293384763,0.282338674369779,1.415,6.32706546292256,0.28970436,9.083,58.7225,305.52618075,310.099029955435
0.580737293384763,0.282338674369779,1.415,6.32706546292256,0.28970436,9.083,58.7225,305.52618075,310.099029955435
0.582031231992417,0.270248050022941,1.415,6.32327349277502,0.27543912,9.093,58.7225,305.52618075,309.913179773978
0.582031231992417,0.270248050022941,1.415,6.52036087735317,0.27543912,9.093,58.7225,315.185731,319.572730023978
0.585510364254328,0.284062674455178,1.415,6.52550455996285,0.28437156,9.12,58.7225,315.185731,319.824829673809
0.585510364254328,0.284062674455178,1.415,5.92163681716399,0.28437156,9.12,58.7225,285.5892613,290.228359973809
0.585510364254328,0.308167383351749,1.415,5.92966880883992,0.30850248,9.12,58.7225,285.5892613,290.622020011296
0.590754383313183,0.316487616291616,1.415,5.94057739550416,0.30850248,9.161,58.7225,285.9423007,291.156666311795
0.590754383313183,0.317992095020746,1.415,5.9410831418223,0.309969,9.161,58.7225,285.9423007,291.181453702344
0.582289667422282,0.304534964881524,1.415,6.67562653958082,0.309969,9.095,58.7225,322.23671235,327.18253452566
0.582289667422282,0.308202482738162,1.415,6.67684181717734,0.31370196,9.095,58.7225,322.23671235,327.242097115302
0.582289667422282,0.308202482738162,1.415,6.88813550054235,0.31370196,9.095,58.7225,332.59253475,337.597919515302
0.578530771220611,0.305043341134358,1.415,6.88641804141968,0.316635,9.066,58.7225,332.59253475,337.513744250948
0.578530771220611,0.305043341134358,1.415,6.8816159122523,0.316635,9.066,58.7225,332.35717515,337.278384650948
0.57461538358592,0.291370046874152,1.415,6.87643449885245,0.30876912,9.036,58.7225,332.35717515,337.024435758131
0.57461538358592,0.291370046874152,1.415,6.18712887461717,0.30876912,9.036,58.7225,298.5732659,303.240526508131
0.57461538358592,0.304202406451512,1.415,6.19132284721319,0.32236776,9.036,58.7225,298.5732659,303.446079436468
0.57709836089562,0.308233068487718,1.415,6.11866550416261,0.32236776,9.055,58.7225,294.9251921,299.885033366824
0.57709836089562,0.310017709909896,1.415,6.11925142836441,0.32423424,9.055,58.7225,294.9251921,299.913750396491
0.57709836089562,0.310017709909896,1.415,6.3351471521815,0.32423424,9.055,58.7225,305.50656745,310.495125746491
0.576446036271001,0.346680574658071,1.415,6.3470493280137,0.36383028,9.05,58.7225,305.50656745,311.078469352078
0.576446036271001,0.346680574658071,1.415,5.99329247934956,0.36383028,9.05,58.7225,288.16841025,293.740312152078
0.581901970418951,0.387453135329321,1.415,6.00790721380268,0.39516048,9.092,58.7225,288.16841025,294.456602350674
0.581901970418951,0.387453135329321,1.415,6.10194890999733,0.39516048,9.092,58.7225,292.77753575,299.065727850674
0.588585630586977,0.384330144971662,1.415,6.10238031545724,0.37876212,9.144,58.7225,292.77753575,299.086871683533
0.588585630586977,0.384330144971662,1.415,6.57779110302851,0.37876212,9.144,58.7225,316.07813615,322.387472083533
0.588585630586977,0.406651325513839,1.415,6.58526760207487,0.40075992,9.144,58.7225,316.07813615,322.753906588648
0.587434278407901,0.404278779602086,1.415,6.99319243245723,0.40075992,9.135,58.7225,336.12292875,342.746918347037
0.587434278407901,0.416651915903946,1.415,6.99732881229957,0.41302536,9.135,58.7225,336.12292875,342.949648567572
0.589862313680698,0.42181400005058,1.415,6.77472901285669,0.41302536,9.154,58.7225,325.10025415,332.039696350383
0.589862313680698,0.416640038784628,1.415,6.77299229741312,0.4079592,9.154,58.7225,325.10025415,331.954577304671
0.589862313680698,0.416640038784628,1.415,6.59071147776774,0.4079592,9.154,58.7225,316.166396,323.020719154671
0.578920788965801,0.411590414038579,1.415,6.58643560494293,0.42635736,9.069,58.7225,316.166396,322.811152172481
0.578920788965801,0.411590414038579,1.415,5.94955322411829,0.42635736,9.069,58.7225,284.95182905,291.596585222481
0.578920788965801,0.379286100741617,1.415,5.93891237631388,0.39289404,9.069,58.7225,284.95182905,291.075061207693
0.580218889982061,0.381870902176761,1.415,5.92484823866853,0.39289404,9.079,58.7225,284.20652365,290.38575658985
0.580218889982061,0.43849716083005,1.415,5.94354376897255,0.45115488,9.079,58.7225,284.20652365,291.302052753649
0.576054269538756,0.428998354930021,1.415,5.74046215579168,0.45115488,9.047,58.7225,274.45871355,281.348716310677
