lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.571768432990632,0.416721481122934,1.334,6.71894861514829,0.39142752,7.904,46.69,236.9090507,242.015793624203
0.571768432990632,0.416721481122934,1.334,6.71894861514829,0.39142752,7.904,46.69,236.9090507,242.015793624203
0.574847013441357,0.423334322713101,1.334,6.72192098224153,0.39142752,7.926,46.69,236.9090507,242.122857961529
0.574847013441357,0.333072985513373,1.334,6.69105849908581,0.3079692,7.926,46.69,236.9090507,241.011194696639
0.574847013441357,0.333072985513373,1.334,6.46263527991661,0.3079692,7.926,46.69,228.68127135,232.783415346639
0.574707410622866,0.393063996087416,1.334,6.48311743360603,0.36369696,7.925,46.69,228.68127135,233.521180280442
0.574707410622866,0.393063996087416,1.334,6.71290193536861,0.36369696,7.925,46.69,236.95808395,241.797992880442
0.572310092842681,0.400401279138009,1.336,6.72483699947656,0.37422924,7.905,46.76,236.95808395,241.865275977469
0.572310092842681,0.400401279138009,1.336,7.10656757858575,0.37422924,7.905,46.76,250.68739395,255.594585977468
0.572709460690327,0.402532014881619,1.338,7.11791301427693,0.3746292,7.905,46.83,250.68739395,255.619970933494
0.56990552131862,0.396770470525398,1.338,7.0407767302164,0.3746292,7.885,46.83,248.0101785,252.84983667505
0.56990552131862,0.420633178539203,1.338,7.04888172926914,0.39716028,7.885,46.83,248.0101785,253.140905084867
0.56594063877815,0.412960053287026,1.34,7.16926222572934,0.39716028,7.854,46.9,252.07993825,257.079759804771
0.56594063877815,0.351688370321982,1.34,7.14857449519259,0.33823284,7.854,46.9,252.07993825,256.337926596577
0.566345788888897,0.353212746959191,1.342,7.93567705546074,0.33823284,7.854,46.97,279.8621777,284.138241394765
0.566628042071708,0.326405260348104,1.342,7.92666572076942,0.31210212,7.856,46.97,279.8621777,283.815589052196
0.566628042071708,0.326405260348104,1.342,7.18305643029588,0.31210212,7.856,46.97,253.23712295,257.190534302196
0.567030742775809,0.353436871027349,1.344,7.20290708096224,0.33649968,7.856,47.04,253.23712295,257.517508480489
0.568016209439634,0.355251769466295,1.344,7.30054746043033,0.33649968,7.863,47.04,256.6988704,261.008336137306
0.568415523317635,0.328922173347833,1.346,7.30245094266574,0.31023564,7.863,47.11,256.6988704,260.688459960148
0.568977153549831,0.329879169720635,1.346,7.50231666476783,0.31023564,7.867,47.11,263.8184983,267.823418853086
0.568977153549831,0.304929133678163,1.346,7.49383156346964,0.28677132,7.867,47.11,263.8184983,267.520511239273
0.569373702631578,0.306221330836744,1.348,7.94392400847332,0.28677132,7.867,47.18,279.4502984,283.167500332106
0.569794016190451,0.330283426987443,1.348,7.95219586527302,0.3086358,7.87,47.18,279.4502984,283.46235725805
0.570188022551941,0.331673839553366,1.35,8.06446676507249,0.3086358,7.87,47.25,283.01011235,287.03846982877
0.572561222742859,0.290770717606651,1.35,8.05089112783542,0.2673066,7.887,47.25,283.01011235,286.55527233376
0.572561222742859,0.290770717606651,1.35,8.04593173248023,0.2673066,7.887,47.25,282.83359265,286.37875263376
0.572950154902977,0.390419326487751,1.352,8.09201268907784,0.35743092,7.887,47.32,282.83359265,287.59284809621
0.57378450938044,0.392078130169492,1.352,8.18354156401385,0.35743092,7.893,47.32,286.0599805,290.845815044892
0.574170453645477,0.338918530208401,1.354,8.17734010027371,0.30770256,7.893,47.39,286.0599805,290.196128727154
0.571945910988549,0.335107592380292,1.354,8.00291037005624,0.30770256,7.877,47.39,279.93082425,284.005994548641
0.571945910988549,0.344690391815777,1.354,8.00619415221921,0.31650168,7.877,47.39,279.93082425,284.122528881271
0.572332824276696,0.346114989586687,1.356,7.84164662931389,0.31650168,7.877,47.46,273.6643749,277.872645844922
0.570242809260722,0.321811019795554,1.356,7.83293672156617,0.29743692,7.862,47.46,273.6643749,277.564005934794
0.570630533073837,0.323146029600896,1.358,8.25788890662524,0.29743692,7.862,47.53,288.2762834,292.19143700489
0.569933204272965,0.315787407550434,1.358,8.25524736239073,0.29170416,7.857,47.53,288.2762834,292.097970428321
0.569933204272965,0.315787407550434,1.358,8.61139113509331,0.29170416,7.857,47.53,300.87782865,304.699515678321
0.57031992930528,0.394919392464962,1.36,8.65115609124694,0.363297,7.857,47.6,300.87782865,305.6563747557
0.566825955857073,0.387876531048849,1.36,8.8764227508381,0.363297,7.832,47.6,308.9487016,313.615333049566
0.56721536224135,0.306309810446508,1.362,8.86164513953447,0.28570476,7.832,47.67,308.9487016,312.633466103837
0.565814005466317,0.30409316054353,1.362,8.48233088160997,0.28570476,7.822,47.67,295.60185095,299.251489131131
0.565814005466317,0.249177596786953,1.362,8.46364913424824,0.23410992,7.822,47.67,295.60185095,298.592408414333
0.566203347363544,0.250220313069265,1.364,8.72974627235737,0.23410992,7.822,47.74,304.52590245,307.528570260366
0.567882362502871,0.275255920283599,1.364,8.73853349766209,0.2553078,7.834,47.74,304.52590245,307.838123682677
0.568267578298893,0.276394301835485,1.366,8.87020559735865,0.2553078,7.834,47.81,308.6937287,312.019118157343
0.57119107419067,0.328616845730082,1.366,8.88859737260752,0.29903676,7.855,47.81,308.6937287,312.666068831881
0.57119107419067,0.328616845730082,1.366,8.91229430243021,0.29903676,7.855,47.81,309.52729395,313.499634081881
0.571570660330507,0.287734777467767,1.368,8.91125424315514,0.26077392,7.855,47.88,309.52729395,313.004769555788
0.572817840315549,0.289561470233735,1.368,9.11058722316892,0.26077392,7.864,47.88,316.4998221,320.006272573392
0.573194029150296,0.3643018116818,1.37,9.14968486798825,0.32676732,7.864,47.95,316.4998221,320.910396781791
0.572917435404569,0.363792667208144,1.37,8.74850291658469,0.32676732,7.862,47.95,302.437086,306.839588763359
0.572917435404569,0.282900376866064,1.37,8.72059193069504,0.25410792,7.862,47.95,302.437086,305.86065608036
0.573292159111453,0.284036080231131,1.372,9.1385909645205,0.25410792,7.862,48.02,316.6175019,320.054063852466
0.573430299654123,0.288558871627351,1.372,9.14017492162406,0.2579742,7.863,48.02,316.6175019,320.109537602187
