lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.11198966712482,11.8596432194121,1.342,8.01275753550134,1.92860712,13.606,37.576,95.66387075,303.116770075795
1.11198966712482,12.1760971308384,1.342,8.15908653036775,1.98006864,13.606,37.576,95.66387075,308.652289164676
1.12139008369034,12.3996428495396,1.342,8.74774779023616,1.98006864,13.705,37.576,113.72772005,330.920915036543
1.12152330472489,12.6820798961756,1.344,8.88381390851454,2.02139784,13.705,37.632,113.72772005,335.568095510046
1.11592334918794,12.545680560136,1.344,8.85389418602611,2.02139784,13.646,37.632,115.15949095,334.437938530507
1.11592334918794,12.2271152642877,1.344,8.70648689172918,1.97006964,13.646,37.632,115.15949095,328.86992624199
1.11592334918794,12.2271152642877,1.344,8.2511120281034,1.97006964,13.646,37.632,97.95862685,311.66906214199
1.12417934778159,12.7806412717453,1.344,8.51421305941428,2.02673064,13.733,37.632,97.95862685,321.60717125964
1.12431177544558,12.8044229467359,1.346,8.70982392101389,2.02673064,13.733,37.688,104.74482865,328.507125881604
1.13075716693412,12.493446769095,1.346,8.5709467276759,1.95327132,13.801,37.688,104.74482865,323.269115555828
1.13088829796088,12.5165907562677,1.348,8.92978308909172,1.95327132,13.801,37.744,117.66999335,336.303584769443
1.13088829796088,12.5165907562677,1.348,8.92978308909172,1.95327132,13.801,37.744,117.66999335,336.303584769443
1.12273690101686,12.610426497723,1.348,8.50393505659658,1.99886676,13.715,37.744,100.2435763,320.265768568725
1.12286870947385,12.6338196715962,1.35,8.51951784860934,1.99886676,13.715,37.8,100.2435763,320.377293165088
1.11518370013128,12.323307420477,1.35,8.36939628906775,1.97886876,13.634,37.8,100.2435763,314.731957390657
1.11531613541874,12.3461968219511,1.352,8.77386461661448,1.97886876,13.634,37.856,114.8554848,329.453948067022
1.11531613541874,12.2480460960203,1.352,8.7284303899848,1.963137,13.634,37.856,114.8554848,327.747917031146
1.12129327197821,12.3902247988375,1.352,8.92788747723078,1.963137,13.697,37.856,119.69016325,335.23742453263
1.1214244669343,12.3524436306285,1.354,8.91587445189863,1.95353796,13.697,37.912,119.69016325,334.291827285741
1.11601753850652,12.2242203604126,1.354,8.83903281610804,1.95353796,13.64,37.912,119.19983075,331.4107267298
1.11614904789324,12.4340525756688,1.356,8.94166864511325,1.98340164,13.64,37.968,119.19983075,334.764472620319
1.11614904789324,12.4340525756688,1.356,8.91442700662709,1.98340164,13.64,37.968,118.17993915,333.744581020319
