lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.523435550603876,0.024186088137011,1.463,7.28265962116634,0.02186448,7.811,40.964,252.423171,252.712174822656
0.523435550603876,0.024186088137011,1.463,7.28265962116634,0.02186448,7.811,40.964,252.423171,252.712174822656
0.523435550603876,0.024186088137011,1.463,7.37252897985332,0.02186448,7.811,40.964,255.5416857,255.830689522656
0.5154691511933,0.0282015361103476,1.463,7.37377497900974,0.026664,7.749,40.964,255.5416857,255.873926358239
0.5154691511933,0.0282015361103476,1.463,7.47664430782125,0.026664,7.749,40.964,259.1113063,259.443546958239
0.5154691511933,0.0282015361103476,1.463,7.47664430782125,0.026664,7.749,40.964,259.1113063,259.443546958239
0.511311899214859,0.0432288553405601,1.463,7.48163285084135,0.04186248,7.717,40.964,259.1113063,259.616652062883
0.511311899214859,0.0432288553405601,1.463,7.23915514721422,0.04186248,7.717,40.964,250.6972006,251.202546362883
0.516115842035932,0.0192479540167251,1.463,7.2311345712455,0.01813152,7.754,40.964,250.6972006,250.924228097054
0.516115842035932,0.0192479540167251,1.463,7.4411123495613,0.01813152,7.754,40.964,257.98354155,258.210569047054
0.516115842035932,0.0196725412376822,1.463,7.44125666894131,0.01853148,7.754,40.964,257.98354155,258.215577006547
0.500237794895233,0.0179193863534646,1.463,7.38508457798085,0.01853148,7.633,40.964,256.06143815,256.266375477247
0.500237794895233,0.018563968596395,1.463,7.38529701985251,0.01919808,7.633,40.964,256.06143815,256.273747323551
0.524582751211395,0.0213718765601193,1.463,6.96490145724037,0.01919808,7.82,40.964,241.42991635,241.685796981242
0.524582751211395,0.0178098971334327,1.463,6.96367246254031,0.0159984,7.82,40.964,241.42991635,241.643150209369
0.524582751211395,0.0178098971334327,1.463,7.25278049378804,0.0159984,7.82,40.964,251.4621193,251.675353159369
0.530285562194431,0.0802335514790701,1.463,7.27458460506315,0.06985968,7.865,40.964,251.4621193,252.431967455112
0.530285562194431,0.0802335514790701,1.463,7.51225797190512,0.06985968,7.865,40.964,259.70951195,260.679360105112
0.523052645704567,0.0447375431637545,1.463,7.49970412211195,0.04052928,7.808,40.964,259.70951195,260.243734818656
0.523052645704567,0.0447375431637545,1.463,7.34963924958747,0.04052928,7.808,40.964,254.5021808,255.036403668656
0.523052645704567,0.0749059522051021,1.463,7.36002090475641,0.06785988,7.808,40.964,254.5021808,255.396652642586
0.528770119127607,0.0772983205983079,1.463,7.31899473337892,0.06785988,7.853,40.964,253.04098995,253.973022604554
0.528770119127607,0.0414586277472261,1.463,7.30654129729512,0.03639636,7.853,40.964,253.04098995,253.540881727393
0.519337969848524,0.0393493054745177,1.463,7.27845800156034,0.03639636,7.779,40.964,252.09955155,252.566376380377
0.519337969848524,0.0595284364870908,1.463,7.28535695451959,0.05506116,7.779,40.964,252.09955155,252.805773729289
0.519337969848524,0.0595284364870908,1.463,7.24579182805362,0.05506116,7.779,40.964,250.72662055,251.432842729289
0.516632645512345,0.118950928417359,1.463,7.26591002954506,0.11172216,7.758,40.964,250.72662055,252.130955055951
0.516632645512345,0.118950928417359,1.463,7.72175680804222,0.11172216,7.758,40.964,266.544747,267.949081505951
0.508959046662844,0.0389732616971906,1.463,7.69435720085472,0.03826284,7.699,40.964,266.544747,266.998300516336
0.508959046662844,0.0389732616971906,1.463,7.42305347651667,0.03826284,7.699,40.964,257.130363,257.583916516336
0.508959046662844,0.0689840311573965,1.463,7.43311822119595,0.06772656,7.699,40.964,257.130363,257.933168527174
0.496221657816773,0.0639006600545934,1.463,7.33534488934095,0.06772656,7.603,40.964,253.8157153,254.540381740747
0.496221657816773,0.0340887379425095,1.463,7.32560202556421,0.03612972,7.603,40.964,253.8157153,254.202299168981
0.525981833580066,0.0405319985262222,1.463,7.49691402932229,0.03612972,7.831,40.964,259.6604787,260.146917110084
0.525981833580066,0.0789700930695399,1.463,7.51020802519993,0.07039296,7.831,40.964,259.6604787,260.608225860607
0.525981833580066,0.0789700930695399,1.463,7.0537960306104,0.07039296,7.831,40.964,243.82273895,244.770486110607
0.511963604747883,0.0579027486669513,1.463,7.0460143186077,0.05586108,7.722,40.964,243.82273895,244.500456551854
0.511963604747883,0.0579027486669513,1.463,7.32777454065461,0.05586108,7.722,40.964,253.599969,254.277686601854
0.514173459851281,0.117710564305312,1.463,7.34811185197655,0.11212212,7.739,40.964,253.599969,254.983402156551
0.514173459851281,0.117710564305312,1.463,7.33709013817532,0.11212212,7.739,40.964,253.21750965,254.600942806551
0.514173459851281,0.0815995945184264,1.463,7.32485959521925,0.07772556,7.739,40.964,253.21750965,254.176536439856
0.506990153830901,0.0782572454261857,1.463,7.33580207331388,0.07772556,7.684,40.964,253.64900225,254.556246268557
