lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.42737746012598,4.57240238998728,1.23,3.79821194901953,0.91297536,10.335,28.29,44.02205185,97.2384779534619
1.42737746012598,4.57240238998728,1.23,3.79821194901953,0.91297536,10.335,28.29,44.02205185,97.2384779534619
1.42737746012598,4.57240238998728,1.23,3.60974863584408,0.91297536,10.335,28.29,39.19718005,92.4136061534619
1.42737746012598,4.51698337737499,1.23,3.58455440588552,0.9019098,10.335,28.29,39.19718005,91.7686056618458
1.43092110222822,4.54979915362695,1.232,4.12396908061924,0.9019098,10.355,28.336,52.5048041,105.406831981383
1.43092110222822,4.64193847129833,1.232,4.16588429831055,0.92017464,10.355,28.336,52.5048041,106.478166470629
1.52423830673196,5.32909219754409,1.232,4.07459331789556,0.92017464,10.922,28.336,41.45270955,104.14480924949
1.52445155658337,5.48092717405581,1.234,4.14752399072367,0.94443888,10.922,28.382,41.45270955,105.837071673328
1.52445155658337,5.48092717405581,1.234,4.2216941268736,0.94443888,10.922,28.382,43.345393,107.729755123328
1.42541889889781,4.56835141194385,1.236,3.77863764381998,0.91004232,10.319,28.428,43.345393,96.2677550221376
1.42541889889781,4.56835141194385,1.236,4.41953623380657,0.91004232,10.319,28.428,59.67346525,112.595827272138
1.43369677566919,4.86749512790881,1.236,4.55809807998078,0.95737092,10.369,28.428,59.67346525,116.125945563509
1.43392451372359,4.87784723565102,1.238,4.95565409512629,0.95737092,10.369,28.474,69.55856845,126.050452298026
1.43392451372359,4.70395378176902,1.238,4.87647734483736,0.923241,10.369,28.474,69.55856845,124.036537486008
1.42653904939496,4.65913926267795,1.24,5.03823745513834,0.923241,10.323,28.52,74.1186607,127.944321370968
1.42653904939496,4.69345205724785,1.24,5.05384725678906,0.93004032,10.323,28.52,74.1186607,128.340726958581
1.42885670930191,4.71022733753668,1.24,4.53350051757314,0.93004032,10.337,28.52,60.69335685,115.126699033264
1.42908382709046,4.561212724602,1.242,4.46993790095952,0.89871012,10.337,28.566,60.69335685,113.329758136365
1.42908382709046,4.561212724602,1.242,4.55541907474335,0.89871012,10.337,28.566,62.8606265,115.497027786365
1.42169507024011,4.59525803342234,1.244,4.57309498123115,0.91417524,10.291,28.612,62.8606265,115.75877153809
1.42169507024011,4.59525803342234,1.244,4.77765036314611,0.91417524,10.291,28.612,68.0385377,120.93668273809
1.42980649195554,4.58385846837527,1.244,4.77481221868914,0.9005766,10.34,28.612,68.0385377,120.864840776107
1.43003190211938,4.59354190385067,1.246,4.65355575222823,0.9005766,10.34,28.658,64.7435033,117.606397546372
1.43003190211938,4.72546597925364,1.246,4.71362902432486,0.92644068,10.34,28.658,64.7435033,119.124591696453
1.49469876433197,5.22354471161978,1.25,4.68334705283977,0.92644068,10.73,28.75,57.5454222,117.980544670582
1.49469876433197,5.22955829022,1.25,4.68610892153049,0.92750724,10.73,28.75,57.5454222,118.050120290061
1.42568350688928,4.71593768043914,1.25,4.84809476004688,0.92750724,10.311,28.75,68.04834435,122.130786796614
1.4259074270181,4.61377131194438,1.252,4.80630189807541,0.90550944,10.311,28.796,68.04834435,120.884546573804
1.4259074270181,4.61377131194438,1.252,4.71545358710593,0.90550944,10.311,28.796,65.7633949,118.599597123804
1.43125616072483,4.69362612135165,1.254,4.75788636762743,0.91204212,10.342,28.842,65.7633949,119.475978804482
1.43125616072483,4.69362612135165,1.254,4.57707108479927,0.91204212,10.342,28.842,61.22291595,114.935499854482
1.42000816854139,4.56445297708441,1.254,4.5149895238315,0.90244308,10.274,28.842,61.22291595,113.376560718651
1.42023165807161,4.57403389520455,1.256,4.72820258905962,0.90244308,10.274,28.888,66.3517939,118.541523668425
1.42023165807161,4.60917198983458,1.256,4.7441940981404,0.90937572,10.274,28.888,66.3517939,118.942449351385
1.42012339671011,4.61646224567215,1.258,5.2303819714589,0.90937572,10.272,28.934,78.32571355,130.923266778655
1.42012339671011,4.70038561738647,1.258,5.26858130188449,0.9259074,10.272,28.934,78.32571355,131.879445726075
1.43285463822002,4.79337806656604,1.258,5.59796401641845,0.9259074,10.349,28.934,85.4159215,140.124323680023
1.43307426458223,4.91470069940302,1.26,5.65911739533835,0.94737192,10.349,28.98,85.4159215,141.430223009046
1.43307426458223,4.91470069940302,1.26,5.648915038706,0.94737192,10.349,28.98,85.1609486,141.175250109046
1.54383442777686,5.79788281473942,1.262,6.09269812530532,0.94870512,11.023,29.026,85.1609486,152.024776580969
1.54383442777686,5.79788281473942,1.262,6.10684688801962,0.94870512,11.023,29.026,85.513988,152.377815980969
1.42437032776745,4.71775021559044,1.262,5.57644486328481,0.92004132,10.295,29.026,85.513988,139.143244424978
1.4248090047283,4.73736143040913,1.266,5.61477795498729,0.92004132,10.295,29.118,85.95528725,139.657077124368
1.4248090047283,4.71058891978951,1.266,5.60257651809095,0.91484184,10.295,29.118,85.95528725,139.353589252306
1.51065018036138,5.36124457562396,1.268,5.51528112320449,0.91484184,10.816,29.164,75.6288848,136.965904097719
1.51065018036138,5.41281002913477,1.268,5.53903700057297,0.92364096,10.816,29.164,75.6288848,137.555855026552
1.43262461571998,4.82162902025357,1.268,5.06975169214311,0.92364096,10.341,29.164,71.26492555,125.901673650657
1.4328406717122,4.5414420852055,1.27,4.94680225083128,0.86817984,10.341,29.21,71.26492555,122.654898333111
1.4328406717122,4.5414420852055,1.27,5.39847764515821,0.86817984,10.341,29.21,82.46411985,133.854092633111
1.42991998310683,4.72163083668054,1.272,5.48543223689282,0.90510948,10.322,29.256,82.46411985,135.796260662453
1.42991998310683,4.72163083668054,1.272,5.18120020439258,0.90510948,10.322,29.256,74.93261265,128.264753462453
1.42331356633055,4.67393045869765,1.272,5.15753416566775,0.90510948,10.282,29.256,74.93261265,127.678881752671
1.42352987685026,4.75322898321426,1.274,5.19883552560644,0.9185748,10.282,29.302,74.93261265,128.499287034513
1.42352987685026,4.75322898321426,1.274,5.3599194008793,0.9185748,10.282,29.302,78.91411255,132.480786934513
1.49837621680484,5.32096781297545,1.276,5.64695471653782,0.9179082,10.736,29.348,78.91411255,139.356650324183
1.49837621680484,5.32096781297545,1.276,5.49753939737915,0.9179082,10.736,29.348,75.22681215,135.669349924183
1.42011070153297,4.68618075553711,1.276,5.18427577187358,0.90884244,10.26,29.348,75.22681215,127.938569050198
1.42032617243539,4.6958006380128,1.278,5.14447361511211,0.90884244,10.26,29.394,74.01078755,126.757643966735
1.42032617243539,4.64344903929064,1.278,5.12060739366982,0.89871012,10.26,29.394,74.01078755,126.16959041126
1.41827696538373,4.64465808531612,1.282,6.14190814705727,0.89871012,10.245,29.486,98.851032,150.861826030372
1.41827696538373,4.62398759984519,1.282,6.13248460075584,0.89471052,10.245,29.486,98.851032,150.630358322182
1.41910303112463,4.62989685833682,1.282,5.43113973923664,0.89471052,10.25,29.486,81.5521014,133.403437314498
1.41931657566427,4.89789631280512,1.284,5.55891336953996,0.9445722,10.25,29.532,81.5521014,136.329220131547
1.41931657566427,4.89789631280512,1.284,5.70446699082803,0.9445722,10.25,29.532,85.121722,139.898840731547
1.41820811011888,4.71950773028707,1.286,5.62852207984381,0.91017564,10.242,29.578,85.121722,137.821659073257
1.41820811011888,4.71950773028707,1.286,6.38305548965443,0.91017564,10.242,29.578,103.5974506,156.297387673257
1.41837328255878,4.75390401860371,1.286,6.39878980091664,0.916575,10.243,29.578,103.5974506,156.682662680048
1.41858556839402,4.76357281613159,1.288,6.44105283777827,0.916575,10.243,29.624,104.35256265,157.472624927224
1.41858556839402,4.83147538136518,1.288,6.47202444505136,0.92964036,10.243,29.624,104.35256265,158.229827269503
1.42028298318746,4.85240133001436,1.29,6.3516394682006,0.92964036,10.252,29.67,100.99868835,155.045867911073
1.42028298318746,4.74314749252515,1.29,6.30178791835042,0.90870912,10.252,29.67,100.99868835,153.828973146827
1.42556362480204,4.78186818217016,1.29,6.69060326520288,0.90870912,10.284,29.67,110.02080635,163.320099526354
1.42577326832443,4.86042122504996,1.292,6.73384785198552,0.92177448,10.284,29.716,110.02080635,164.121264306656
1.42577326832443,4.86042122504996,1.292,5.86755815150857,0.92177448,10.284,29.716,88.9070889,143.007546856656
1.42020832996928,4.87321532889479,1.294,5.8777195789227,0.9305736,10.249,29.762,88.9070889,143.033792548082
1.42020832996928,4.87321532889479,1.294,5.85958517029323,0.9305736,10.249,29.762,88.46578965,142.592493298082
1.47595295316473,5.13117997419186,1.294,5.99389758948338,0.90084324,10.588,29.762,88.46578965,145.8609742872
1.47635209941653,5.15146240480089,1.298,6.84146191194674,0.90084324,10.588,29.854,108.51058225,165.973322947473
1.47635209941653,5.20178007813475,1.298,6.86459784276294,0.90964236,10.588,29.854,108.51058225,166.534598792676
1.41868927920065,4.77659061708318,1.3,6.09479811164447,0.90964236,10.236,29.9,94.8106922,147.631842543579
1.41868927920065,4.67508019066122,1.3,6.04845557838666,0.89031096,10.236,29.9,94.8106922,146.509306005426
1.41984413575689,4.68341964110772,1.3,5.79793977702952,0.89031096,10.243,29.9,88.64230935,140.441162538955
1.42005140693462,4.9493048049345,1.302,5.92536560309606,0.93897276,10.243,29.946,88.64230935,143.30727432691
1.42005140693462,4.9493048049345,1.302,6.401802577882,0.93897276,10.243,29.946,100.1651231,154.83008807691
1.422236630465,4.89312187855885,1.304,6.38348179151264,0.92364096,10.255,29.992,100.1651231,154.150202858685
1.422236630465,4.89312187855885,1.304,5.96397932328382,0.92364096,10.255,29.992,90.03485365,144.019933408685
1.43886996467306,4.96477346369304,1.304,6.00163648442599,0.91364196,10.356,29.992,90.03485365,144.929289653246
1.43907268073436,4.97461889258657,1.306,6.45353826387228,0.91364196,10.356,30.038,100.6750689,155.603291879936
1.43907268073436,4.93324237472908,1.306,6.43459002802029,0.90604272,10.356,30.038,100.6750689,155.146425002677
1.45192760566399,5.03829733875814,1.308,6.59498397602795,0.90604272,10.433,30.084,103.1267314,158.770593689877
1.45192760566399,5.22215515806539,1.308,6.67932895876726,0.93910608,10.433,30.084,103.1267314,160.801152525647
1.41605172565153,4.94435577213684,1.308,7.06771522424265,0.93910608,10.215,30.084,115.7969232,170.151337177295
1.41625700432381,4.84870766819934,1.31,7.03177553367091,0.91910808,10.215,30.13,115.7969232,169.027656918493
1.41625700432381,4.84870766819934,1.31,6.70458383876644,0.91910808,10.215,30.13,107.9319899,161.162723618493
1.44464214956852,4.86898227544929,1.314,6.73637139594677,0.88084524,10.385,30.222,107.9319899,161.43389521408
1.44464214956852,4.86898227544929,1.314,6.97699005313722,0.88084524,10.385,30.222,113.6983001,167.20020541408
1.41551131828324,4.59639761139187,1.314,6.84407603308334,0.86937972,10.208,30.222,113.6983001,164.014984955664
1.41571473238882,4.60550355469869,1.316,6.70130742957794,0.86937972,10.208,30.268,110.00119305,160.349540924145
1.41571473238882,4.84068722035038,1.316,6.80875759260216,0.91377528,10.208,30.268,110.00119305,162.920618955442
1.41674161333184,4.85643785086782,1.318,7.09323401347746,0.91377528,10.213,30.314,116.4441621,169.470045373285
1.41674161333184,4.69984713522122,1.318,7.02167119656857,0.88431156,10.213,30.314,116.4441621,167.76028170194
1.41525808215226,4.68908394790977,1.318,6.45974421010039,0.88431156,10.204,30.314,103.1463447,154.334841104281
1.41535925038782,4.90175462339493,1.319,6.56038257032578,0.92350764,10.204,30.337,103.1463447,156.620439604578
1.41535925038782,4.90175462339493,1.319,6.8943406450395,0.92350764,10.204,30.337,111.11915115,164.593246054578
1.41457214821082,4.83595204047659,1.321,6.87141324174064,0.91070892,10.198,30.383,111.11915115,163.797518471247
1.41457214821082,4.83595204047659,1.321,7.38195492584173,0.91070892,10.198,30.383,123.2892038,175.967571121247
1.42050379743333,4.88042058046067,1.321,7.40402590506479,0.91070892,10.234,30.383,123.2892038,176.493688747969
1.42070412371951,5.02387121320998,1.323,7.47784513977153,0.93563976,10.234,30.429,123.2892038,177.983888545383
1.42070412371951,5.02387121320998,1.323,6.69377441265949,0.93563976,10.234,30.429,104.62714885,159.321833595383
1.42238547749687,4.89423112836344,1.325,6.64192787717999,0.90764256,10.243,30.475,104.62714885,157.84918546889
1.42238547749687,4.89423112836344,1.325,6.8796091525708,0.90764256,10.243,30.475,110.27577925,163.49781586889
1.42485433156321,4.78725013229265,1.325,6.83136098655962,0.88444488,10.258,30.475,110.27577925,162.351170821538
1.42505267514971,4.79660188841378,1.327,7.26247040294921,0.88444488,10.258,30.521,120.229529,172.336600050843
1.42505267514971,4.68670085027105,1.327,7.21215839647144,0.86418024,10.258,30.521,120.229529,171.142708763576
1.49326045694831,5.20537440054208,1.331,7.27203171263595,0.86418024,10.672,30.613,115.1889109,172.044889521068
1.49326045694831,5.4663658661663,1.331,7.39252544603063,0.90750924,10.672,30.613,115.1889109,174.895582679329
1.4155720995809,4.86638959107082,1.331,6.80475611771889,0.90750924,10.198,30.613,108.33406255,160.989880236152
1.41577010615911,4.88733532193535,1.333,6.82158734234568,0.90964236,10.198,30.659,108.33406255,161.145938013124
1.41577010615911,4.88733532193535,1.333,7.74525720177111,0.90964236,10.198,30.659,130.1538588,182.965734263124
1.4192595505045,5.08838751200507,1.335,7.84687794206667,0.94043928,10.218,30.705,130.1538588,185.088612413557
1.4192595505045,5.08838751200507,1.335,7.84978822969577,0.94043928,10.218,30.705,130.22250535,185.157258963557
1.43422092489534,5.0113542968775,1.335,7.81892906500181,0.9052428,10.309,30.705,130.22250535,184.429366926034
1.43441466996373,5.02101856741783,1.337,7.55260919301473,0.9052428,10.309,30.751,123.6422432,177.88104562609
1.43441466996373,4.94337395039591,1.337,7.51699714453805,0.8912442,10.309,30.751,123.6422432,177.042301258676
1.41471418144199,4.8042051494104,1.339,7.15968334236423,0.8912442,10.188,30.797,116.6795217,168.374882575691
1.41471418144199,4.8767892511442,1.339,7.19289480807046,0.90470952,10.188,30.797,116.6795217,169.155919441577
1.415537243918,4.88299190952572,1.339,7.23600592179648,0.90470952,10.193,30.797,117.6209601,170.169767172575
1.41573279045558,4.88162303940241,1.341,7.24321575123133,0.90270972,10.193,30.843,117.6209601,170.085273140237
1.41573279045558,4.88162303940241,1.341,7.22233455427777,0.90270972,10.193,30.843,117.1306276,169.594940640237
1.41740850164278,4.92322378586355,1.343,7.2496157102828,0.906576,10.202,30.889,117.1306276,169.982041700845
1.41740850164278,4.92322378586355,1.343,7.41607793412221,0.906576,10.202,30.889,121.0336743,173.885088400845
1.41181284308909,4.85214577101167,1.343,7.38191060179167,0.9012432,10.168,30.889,121.0336743,173.083965535701
1.41200778152407,4.86150932862063,1.345,7.56221263044367,0.9012432,10.168,30.935,124.96614095,177.047854471012
1.41200778152407,5.05640119667628,1.345,7.65139234451285,0.93737292,10.168,30.935,124.96614095,179.135745649147
1.41568620319253,5.10174271649933,1.349,7.61583506210449,0.93737292,10.188,31.027,123.24017055,177.774574668822
1.41568620319253,4.8833350138018,1.349,7.5158194375306,0.8972436,10.188,31.027,123.24017055,175.439934412846
1.41601517113796,4.88581331255288,1.349,7.22759033771937,0.8972436,10.19,31.027,116.4833887,168.711873050136
1.4162076227786,5.05519485658375,1.351,7.31292931544761,0.926574,10.19,31.073,116.4833887,170.451212423934
1.4162076227786,5.05519485658375,1.351,7.90490797909482,0.926574,10.19,31.073,130.28134525,184.249168973934
1.42050905261981,4.92904347622598,1.353,7.8569573601555,0.89604372,10.215,31.119,130.28134525,182.860822001447
1.42050905261981,4.92904347622598,1.353,7.75583070430526,0.89604372,10.215,31.119,127.92774925,180.507226001447
1.41656387454221,4.9779432267344,1.353,7.77708664659848,0.91044228,10.191,31.119,127.92774925,181.001931381912
1.41675505142618,4.98744327867049,1.355,7.57176283540335,0.91044228,10.191,31.165,122.8577112,175.963169201216
1.41675505142618,5.04221824512243,1.355,7.59685964619817,0.92044128,10.191,31.165,122.8577112,176.546403840268
1.43369370757072,5.1828956332254,1.357,8.09078934359578,0.92044128,10.293,31.211,132.51726145,187.747911306302
1.43369370757072,5.1498644327819,1.357,8.07562066229897,0.9145752,10.293,31.211,132.51726145,187.395919910926
