lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.831351320390591,0.580898373550047,1.643,19.3162065239251,0.29103756,6.624,37.789,365.75862505,370.210169752626
0.831351320390591,0.580898373550047,1.643,18.5005966251639,0.29103756,6.624,37.789,350.12682495,354.578369652626
0.838119525508973,0.509954294940034,1.643,18.4730521130732,0.25037496,6.66,37.789,350.12682495,354.050457586445
0.838119525508973,0.509954294940034,1.643,19.2820102372523,0.25037496,6.66,37.789,365.6311386,369.554771236445
0.838119525508973,0.505066554093963,1.643,19.2800480576765,0.2479752,6.66,37.789,365.6311386,369.517164533859
0.875994039673259,0.563204914557421,1.643,18.8158521514213,0.2479752,6.864,37.789,356.1971413,360.620487795578
0.875994039673259,0.648896845105674,1.643,18.850967577885,0.28570476,6.864,37.789,356.1971413,361.293502343023
0.898660910339929,0.690400929355567,1.643,18.7390655727884,0.28570476,6.988,37.789,353.6670256,359.148813102352
0.898660910339929,0.772553163133294,1.643,18.7730996281663,0.31970136,6.988,37.789,353.6670256,359.801102329183
0.898660910339929,0.772553163133294,1.643,19.212116750586,0.31970136,6.988,37.789,362.0811313,368.215208029183
0.881134184887546,0.694151918552906,1.643,19.1772459751586,0.3013032,6.892,37.789,362.0811313,367.546882409739
0.881134184887546,0.694151918552906,1.643,18.4296888471221,0.3013032,6.892,37.789,347.75361565,353.219366759739
0.874706936136059,0.797428632103114,1.643,18.471069937634,0.35236476,6.857,37.789,347.75361565,354.012467647534
0.874706936136059,0.797428632103114,1.643,18.4019938169735,0.35236476,6.857,37.789,346.4297179,352.688569897534
0.874706936136059,0.727732826573103,1.643,18.3734519094888,0.32156784,6.857,37.789,346.4297179,352.141541970394
0.9813996414838,1.07960363257698,1.643,18.5770337468435,0.36249708,7.451,37.789,347.18482995,356.043346730676
0.9813996414838,1.0577653832972,1.643,18.5676842553788,0.35516448,7.451,37.789,347.18482995,355.864156431692
0.9813996414838,1.0577653832972,1.643,19.2134180648121,0.35516448,7.451,37.789,359.56082225,368.240148731692
0.956128199111951,1.04239565895616,1.643,19.2028250048281,0.37209612,7.308,37.789,359.56082225,368.037124471726
0.956128199111951,1.04239565895616,1.643,18.8175337540331,0.37209612,7.308,37.789,352.1764148,360.652717021726
0.943314571168878,1.09181109892229,1.643,18.836238109407,0.40235976,7.236,37.789,352.1764148,361.011200586784
0.943314571168878,1.09181109892229,1.643,18.9073609299389,0.40235976,7.236,37.789,353.53953915,362.374324936784
0.943314571168878,1.03899319950458,1.643,18.8850610184368,0.38289504,7.236,37.789,353.53953915,361.94692973305
0.979815758937503,1.13605834799218,1.643,19.5147906865582,0.38289504,7.442,37.789,364.69950685,374.016190177368
0.979815758937503,1.22070893520329,1.643,19.5510119977337,0.41142552,7.442,37.789,364.69950685,374.710399868196
0.97682162051235,1.2120044855821,1.643,18.6195958055497,0.41142552,7.425,37.789,346.92985705,356.85908179538
0.97682162051235,1.48928094923115,1.643,18.7381174355631,0.50554944,7.425,37.789,346.92985705,359.130641312631
0.97682162051235,1.48928094923115,1.643,19.7532805717878,0.50554944,7.425,37.789,366.38625065,378.587034912631
0.989130820897922,1.39677667576527,1.643,19.716246163349,0.46048728,7.495,37.789,366.38625065,377.877241578322
0.989130820897922,1.39677667576527,1.643,18.9778991847339,0.46048728,7.495,37.789,352.2352547,363.726245628322
1.01551537097288,1.61197255400265,1.643,19.0761204176259,0.49995,7.646,37.789,352.2352547,365.608732195092
