lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.18977051956284,9.3622987243968,1.129,5.10126966758592,4.03812948,9.373,24.838,44.1691516,180.17418809721
1.18977051956284,9.35673494292369,1.129,5.09898128692083,4.03572972,9.373,24.838,44.1691516,180.093363683827
1.18149401137337,9.2189035633957,1.131,5.33237228963324,4.03572972,9.325,24.882,54.67207375,188.003567950446
1.18149401137337,9.1156625634951,1.131,5.29002164280979,3.99053424,9.325,24.882,54.67207375,186.510410257144
1.18149401137337,9.1156625634951,1.131,5.58875197953287,3.99053424,9.325,24.882,65.20441585,197.042752357144
1.17611785978049,9.07680349574136,1.133,5.57006590209726,4.00933236,9.293,24.926,65.20441585,196.037275062987
1.17611785978049,9.07680349574136,1.133,5.71356513550603,4.00933236,9.293,24.926,70.2548406,201.087699812987
1.17748700190702,9.20776646050342,1.135,5.77412442017855,4.0469286,9.298,24.97,70.2548406,202.860975572578
1.17748700190702,9.20776646050342,1.135,6.12192183211698,4.0469286,9.298,24.97,82.4739265,215.080061472578
1.17748700190702,9.17227614009891,1.135,6.10737371228659,4.03133016,9.298,24.97,82.4739265,214.568945748915
1.17766639270984,9.21512626064531,1.139,6.18007701079048,4.03133016,9.294,25.058,84.0037639,216.360709190211
1.17766639270984,9.13954747525474,1.139,6.14906993262139,3.9982668,9.294,25.058,84.0037639,215.275170383678
1.18121070920888,9.22637114379632,1.141,5.53868773398522,3.9982668,9.311,25.102,61.0562029,193.566175703271
1.18121070920888,9.3949623871041,1.141,5.60797127381556,4.07132616,9.311,25.102,61.0562029,195.987498314014
1.18121070920888,9.3949623871041,1.141,5.87791495038052,4.07132616,9.311,25.102,70.4902002,205.421495614014
1.16908915864766,9.01102483803256,1.143,5.70837735507535,3.99586704,9.242,25.146,70.4902002,199.147416931937
1.16908915864766,9.01102483803256,1.143,6.05665851236227,3.99586704,9.242,25.146,82.64063955,211.297856281937
1.18682262540371,9.37270446498451,1.145,6.2354916223711,3.99813348,9.337,25.19,82.64063955,217.156806772462
1.18682262540371,9.37270446498451,1.145,6.82711316729204,3.99813348,9.337,25.19,103.2444112,237.760578422462
1.18682262540371,9.39145674975223,1.145,6.83484105857664,4.00613268,9.337,25.19,103.2444112,238.02970943828
1.20280730361423,9.72090000258136,1.147,6.7532537278927,4.00613268,9.423,25.234,94.6733991,234.778261580442
1.20280730361423,9.84706563208673,1.147,6.80555870013277,4.05812748,9.423,25.234,94.6733991,236.59665475051
1.19367433099285,9.68779319836623,1.149,6.89352926285162,4.05812748,9.37,25.278,100.2435763,239.237815550781
1.19367433099285,9.62032014872421,1.149,6.86563505219284,4.02986364,9.37,25.278,100.2435763,238.269755538258
1.19367433099285,9.62032014872421,1.149,7.37483371846144,4.02986364,9.37,25.278,117.9151596,255.941338838259
1.19363790798394,9.63997939899657,1.153,7.39763436273567,4.02146448,9.365,25.366,117.9151596,255.841968599244
1.19363790798394,9.63997939899657,1.153,7.63639011346756,4.02146448,9.365,25.366,126.1723589,264.099167899244
1.17632064594415,9.3113290473438,1.155,7.48435426673509,4.01599836,9.267,25.41,126.1723589,258.392905612101
1.17632064594415,9.3113290473438,1.155,7.74255549838181,4.01599836,9.267,25.41,135.08660375,267.307150462101
1.17632064594415,9.30205573886124,1.155,7.73874136626617,4.01199876,9.267,25.41,135.08660375,267.175469806079
1.20728136636467,9.92576991785849,1.157,8.20485538622502,4.01199876,9.436,25.454,140.4900679,282.778121650052
1.20728136636467,10.0451707323424,1.157,8.25451880926761,4.0602606,9.436,25.454,140.4900679,284.489758092332
1.17447162449932,9.41751343807307,1.159,7.85391122147094,4.0602606,9.252,25.498,136.9400606,270.215828564587
1.17447162449932,9.41751343807307,1.159,7.85391122147094,4.0602606,9.252,25.498,136.9400606,270.215828564587
1.17447162449932,9.30279015829881,1.159,8.66552800161672,4.01079888,9.252,25.498,166.48749705,298.139711906235
1.17672272734236,9.36576895818843,1.161,8.70438288146598,4.01079888,9.262,25.542,166.48749705,298.960629907913
1.17672272734236,9.30257087620093,1.161,8.67835659226821,3.98373492,9.262,25.542,166.48749705,298.0667312917
1.18584752615851,9.49817290574969,1.163,8.81126367422239,3.98373492,9.31,25.586,167.50738865,302.111123733272
1.18584752615851,9.62786249262918,1.163,8.86486723352443,4.03812948,9.31,25.586,167.50738865,303.949024871586
1.18584752615851,9.62786249262918,1.163,9.40772788673732,4.03812948,9.31,25.586,186.12041035,322.562046571586
1.16239109768766,9.14994205144481,1.167,9.19936058488598,4.01173212,9.176,25.674,186.12041035,314.336649356889
