lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.708565483730317,0.439985443023539,1.241,5.82376968006859,0.33543312,8.034,51.502741,194.7012291,200.1759717213
0.710861049473463,0.449689667978109,1.243,5.83691092931039,0.33903276,8.046,51.585743,194.7012291,200.30485379712
0.712337510687541,0.450156855511989,1.247,6.12527593336339,0.3359664,8.05,51.751747,203.9194801,209.526394641945
0.712337510687541,0.38656326798728,1.247,6.10212010554122,0.28850448,8.05,51.751747,203.9194801,208.734306714591
0.714344314950137,0.389558318267161,1.247,5.75891020586849,0.28850448,8.063,51.751747,192.1318868,196.994177181461
0.714767541390101,0.423213906409365,1.249,5.78035820754564,0.31223544,8.063,51.834749,192.1318868,197.411227908675
0.714767541390101,0.423213906409365,1.249,5.34389547625549,0.31223544,8.063,51.834749,177.2257788,182.505119908675
0.713956813702898,0.442685465374268,1.251,5.35927724973496,0.32690064,8.055,51.917751,177.2257788,182.737824781175
0.714223298880396,0.401906689124391,1.253,5.45105301550532,0.29583708,8.054,52.000753,180.56984645,185.570471293324
0.714223298880396,0.425995733582951,1.253,5.45985722054147,0.31356864,8.054,52.000753,180.56984645,185.870193287088
0.709398516071551,0.419066326247448,1.255,5.83471436615534,0.31356864,8.02,52.083755,193.1321651,198.314929720778
0.709398516071551,0.398219914610139,1.255,5.82712904069185,0.2979702,8.02,52.083755,193.1321651,198.057113623571
0.707231076186483,0.394881249275656,1.255,5.9496503673572,0.2979702,8.006,52.083755,197.3490246,202.221466282867
0.707655279201867,0.401190379871483,1.257,5.96134702848276,0.30156984,8.006,52.166757,197.3490246,202.296636660287
0.703229479508306,0.398493442908256,1.261,6.35697700927653,0.30343632,7.972,52.332761,210.1565095,215.037939526276
0.703229479508306,0.420379066969562,1.261,6.36490239437954,0.32010132,7.972,52.332761,210.1565095,215.30603212438
