lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.6332264837165,0.320592383388032,1.53,19.9835435367803,0.24970836,7.204,63.49653,553.9188186,557.135210035722
0.623472501898623,0.334509431992718,1.53,20.5358014103686,0.27210612,7.142,63.49653,569.2171926,572.531994186103
0.626001273804283,0.338334326863909,1.53,20.490069193044,0.27210612,7.158,63.49653,567.89329485,571.256993660913
0.626001273804283,0.367012346730374,1.53,20.5002958124862,0.29517048,7.158,63.49653,567.89329485,571.542108748756
0.626001273804283,0.367012346730374,1.53,19.7767486207625,0.29517048,7.158,63.49653,547.7210158,551.369829698756
0.62363079347274,0.345737202777012,1.53,19.7687842568046,0.28103856,7.143,63.49653,547.7210158,551.147785616419
0.62363079347274,0.345737202777012,1.53,20.2830409385256,0.28103856,7.143,63.49653,562.0583381,565.485107916419
0.625685628837218,0.348946868332712,1.53,20.2845126297708,0.28103856,7.156,63.49653,562.0583381,565.526138227658
0.625685628837218,0.464489996461855,1.53,20.3256987392243,0.37409592,7.156,63.49653,562.0583381,566.674394626665
0.625685628837218,0.464489996461855,1.53,20.3971037367546,0.37409592,7.156,63.49653,564.04908805,568.665144576665
0.623789052394216,0.3960433879401,1.53,20.3723592751204,0.32170116,7.144,63.49653,564.04908805,567.975276395657
0.623789052394216,0.3960433879401,1.53,20.3002507800775,0.32170116,7.144,63.49653,562.0387248,565.964913145657
0.625527758263303,0.470943364661697,1.53,20.3272614608667,0.37956204,7.155,63.49653,562.0387248,566.717962838121
0.625527758263303,0.470943364661697,1.53,19.7183843636991,0.37956204,7.155,63.49653,545.06341365,549.742651688121
0.625527758263303,0.502041837635494,1.53,19.7294673658087,0.4046262,7.155,63.49653,545.06341365,550.051642468299
0.625843467336285,0.502753004670954,1.53,19.5577885007036,0.4046262,7.157,63.49653,540.2679618,545.265287115809
0.625843467336285,0.513189063746496,1.53,19.5615092582485,0.41302536,7.157,63.49653,540.2679618,545.369020722035
0.61998173377835,0.499770553755412,1.53,20.0720818328049,0.41302536,7.12,63.49653,554.67393065,559.603631217437
