feature,weight
Iiso_lin,4.99714166e-02
Iiso_exp,3.63284908e-02
Iiso_quad_lin,1.36420485e-02
Iiso_quad_exp,4.76058871e-02
Ith_lin,3.12374197e-02
Ith_exp,2.40234621e-02
Ith_quad_lin,2.40713395e-02
Ith_quad_exp,2.93074120e-02
Iz_lin,4.99174669e-02
Iz_exp,4.46127430e-02
Iz_quad_lin,3.60105634e-02
Iz_quad_exp,3.62835750e-02
Jiso_lin,3.97462100e-02
Jiso_exp,4.53005135e-02
Jiso_quad_lin,4.82739210e-02
Jiso_quad_exp,1.36475656e-02
Jth_lin,2.33853143e-02
Jth_exp,2.91895010e-02
Jth_quad_lin,2.44444367e-02
Jth_quad_exp,3.82228568e-02
Jz_lin,3.03314775e-02
Jz_exp,3.64204943e-02
Jz_quad_lin,1.78271290e-02
Jz_quad_exp,2.44978033e-02
IIIc_lin,3.09047308e-02
IIIc_exp,3.28770801e-02
IIIc_quad_lin,2.13032588e-02
IIIc_quad_exp,2.15195175e-02
