feature,weight
I1_lin,7.07274556e-01
I1_exp,4.15328264e-01
I1_quad_lin,5.81332266e-01
I1_quad_exp,3.18107247e-01
I2_lin,2.92516619e-01
I2_exp,2.47966737e-01
I2_quad_lin,1.74401492e-01
I2_quad_exp,7.81506300e-02
I4theta_lin,-0.00000000e+00
I4theta_exp,3.94152045e-01
I4theta_quad_lin,1.36213422e-01
I4theta_quad_exp,-0.00000000e+00
I4z_lin,2.99253285e-01
I4z_exp,-0.00000000e+00
I4z_quad_lin,1.82884634e-02
I4z_quad_exp,2.92036176e-01
I4a_lin,8.86562169e-01
I4a_exp,1.05949390e+00
I4a_quad_lin,-0.00000000e+00
I4a_quad_exp,7.04217017e-01
I4b_lin,-0.00000000e+00
I4b_exp,8.62487555e-01
I4b_quad_lin,-0.00000000e+00
I4b_quad_exp,8.43457341e-01
I8_lin,6.44325376e-01
I8_exp,5.00931680e-01
I8_quad_lin,6.44325256e-01
I8_quad_exp,4.53020275e-01
