feature,weight
I1_lin,2.55301166e+00
I1_exp,-0.00000000e+00
I1_quad_lin,1.60130894e+00
I1_quad_exp,-0.00000000e+00
I2_lin,1.27514748e-21
I2_exp,5.52764714e-01
I2_quad_lin,1.27519716e-21
I2_quad_exp,2.13342020e-03
I4theta_lin,-0.00000000e+00
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,5.47992587e-02
I4theta_quad_exp,-0.00000000e+00
I4z_lin,-0.00000000e+00
I4z_exp,-0.00000000e+00
I4z_quad_lin,-0.00000000e+00
I4z_quad_exp,5.02864718e-02
I4a_lin,7.49254465e-01
I4a_exp,5.52404933e-02
I4a_quad_lin,7.44437337e-01
I4a_quad_exp,5.22424698e-01
I4b_lin,7.31860399e-01
I4b_exp,6.37728393e-01
I4b_quad_lin,9.21594739e-01
I4b_quad_exp,5.20430326e-01
I8_lin,4.36352909e-01
I8_exp,4.98793945e-02
I8_quad_lin,4.33752649e-02
I8_quad_exp,4.36578751e-01
