feature,weight
I1_lin,1.84210551e+00
I1_exp,4.82018769e-01
I1_quad_lin,1.69070208e+00
I1_quad_exp,-0.00000000e+00
I2_lin,3.39418232e-01
I2_exp,8.92355144e-02
I2_quad_lin,0.00000000e+00
I2_quad_exp,5.28174937e-01
I4theta_lin,2.96092540e-01
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,-0.00000000e+00
I4theta_quad_exp,3.27686340e-01
I4z_lin,2.43933171e-01
I4z_exp,3.43207985e-01
I4z_quad_lin,3.53765815e-01
I4z_quad_exp,1.15109473e-01
I4a_lin,3.31584096e+00
I4a_exp,1.59333503e+00
I4a_quad_lin,-0.00000000e+00
I4a_quad_exp,7.61175334e-01
I4b_lin,0.00000000e+00
I4b_exp,1.48807812e+00
I4b_quad_lin,-0.00000000e+00
I4b_quad_exp,6.37818575e-01
