feature,weight
I1_lin,-0.00000000e+00
I1_exp,-0.00000000e+00
I1_quad_lin,-0.00000000e+00
I1_quad_exp,3.57485920e-01
I2_lin,2.91100740e-02
I2_exp,5.90160072e-01
I2_quad_lin,2.91360805e-17
I2_quad_exp,4.36594971e-02
I4theta_lin,-0.00000000e+00
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,3.43765348e-01
I4theta_quad_exp,3.57630044e-01
I4z_lin,-0.00000000e+00
I4z_exp,-0.00000000e+00
I4z_quad_lin,-0.00000000e+00
I4z_quad_exp,2.82114446e-02
I4a_lin,1.86335214e-07
I4a_exp,1.54673755e+00
I4a_quad_lin,1.86336820e-07
I4a_quad_exp,1.03780413e+00
I4b_lin,1.86335214e-07
I4b_exp,1.00270438e+00
I4b_quad_lin,1.86336820e-07
I4b_quad_exp,7.33583689e-01
