feature,weight
I1_lin,7.49396753e+00
I1_exp,4.47326183e+00
I1_quad_lin,-0.00000000e+00
I1_quad_exp,5.65114069e+00
I2_lin,0.00000000e+00
I2_exp,7.58747220e-01
I2_quad_lin,3.70643592e+00
I2_quad_exp,-0.00000000e+00
I4theta_lin,-0.00000000e+00
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,3.84005606e-02
I4theta_quad_exp,-0.00000000e+00
I4z_lin,-0.00000000e+00
I4z_exp,3.60238224e-01
I4z_quad_lin,3.17284733e-01
I4z_quad_exp,-0.00000000e+00
I4a_lin,1.73628187e+00
I4a_exp,2.16470909e+00
I4a_quad_lin,2.13156319e+00
I4a_quad_exp,-0.00000000e+00
I4b_lin,7.05472648e-01
I4b_exp,2.13709378e+00
I4b_quad_lin,1.38290238e+00
I4b_quad_exp,-0.00000000e+00
