feature,weight
I1_lin,1.39474952e+00
I1_exp,1.28002083e+00
I1_quad_lin,1.89464068e+00
I1_quad_exp,-0.00000000e+00
I2_lin,2.70892375e-09
I2_exp,1.09998429e+00
I2_quad_lin,8.57005656e-01
I2_quad_exp,4.04542267e-01
I4theta_lin,1.46653861e-01
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,2.25613087e-01
I4theta_quad_exp,-0.00000000e+00
I4z_lin,8.87927711e-02
I4z_exp,1.80387467e-01
I4z_quad_lin,2.91100949e-01
I4z_quad_exp,2.56800741e-01
I4a_lin,-0.00000000e+00
I4a_exp,2.26265788e+00
I4a_quad_lin,2.12437248e+00
I4a_quad_exp,-0.00000000e+00
I4b_lin,-0.00000000e+00
I4b_exp,2.20151424e+00
I4b_quad_lin,3.39917788e-05
I4b_quad_exp,-0.00000000e+00
